Begin,BillableDuration,Cluster,Description,End,Fab300_Duration,Fab300_User_id,Facility,id,IIO_Duration,IIO_User_id,Modules,Tool,TR_Cluster,WBS
2023-01-03 13:48:44,2,,"",2023-01-03 15:52:17,2.0591666666666666,vrebos45,PLINE300,1054,,"","",HELIOS1200_2,,39320/36502
2023-01-03 13:58:06,1,0,APC,2023-01-03 15:00:00,0.9711111111111111,newman74,PLINE300,842,1,das89,"",H6300_2,,31199/02287
2023-01-03 14:00:00,1,,DSA,2023-01-03 15:00:00,,"",PLINE300,1342,1,vanbel53,"",KLA2925,,31199/00650
2023-01-03 14:00:00,1,,Si,2023-01-03 15:00:00,,"",PLINE300,1277,1,khazak83,"",JVX7300M,,30990/01658
2023-01-03 14:00:00,1,0,i,2023-01-03 15:00:00,0.8769444444444444,maes72,PLINE300,1757,1,maes72,"",SEMVISION,,44999/01997
2023-01-03 14:00:00,1.5,,sem nil,2023-01-03 15:30:00,,"",PLINE300,1553,1.5,willegem,"",NOVA200_2,,97401/01743
2023-01-03 14:00:00,2,,bga spectra,2023-01-03 16:00:00,,"",PLINE300,2314,2,canga29,"",YS375,,31199/01617
2023-01-03 14:00:00,2,,cleave,2023-01-03 16:00:00,,"",PLINE300,1469,2,beirnaer,"",MC10,,32299/00013
2023-01-03 14:00:00,2,,JSR Private,2023-01-03 16:00:00,,"",PLINE300,2117,2,krishn87,TOPL;BOTL,TRDUOS,,31199/01513
2023-01-03 14:00:00,3,,Measurement,2023-01-03 17:00:00,,"",PLINE200,2226,3,halbac65,"",WYCO,,97401/00942
2023-01-03 14:00:00,5,,private,2023-01-03 19:00:00,,"",PLINE300,635,5,fukumu91,"",H6300,,31199/02019
2023-01-03 14:30:00,0.5,,d,2023-01-03 15:00:00,,"",PLINE300,392,0.5,schoof76,SN,EP5,,31199/01057
2023-01-03 15:00:00,1.5,,EUV exposures,2023-01-03 16:30:00,,"",PLINE300,2555,1.5,das73,"",LithoCluster_3400,,31199/01889
2023-01-03 15:00:00,2,,SEM,2023-01-03 17:00:00,,"",PLINE300,1752,2,beirnaer,"",SEMVISION,,32299/00013
2023-01-03 15:00:00,3,,wp6,2023-01-03 18:00:00,,"",PLINE300,393,3,hasan30,SN,EP5,,31199/01876
2023-01-03 15:00:00,3.5,0,Devinps,2023-01-03 18:25:31,3.382222222222222,janard53,PLINE300,1651,2,janard53,"",PROVISION2E,,38199/00432
2023-01-03 15:00:00,4,,q,2023-01-03 19:00:00,,"",PLINE300,822,4,vdbroecn,"",H6300_2,,31199/01889
2023-01-03 15:06:52,7,0,FIB,2023-01-03 22:00:00,4.470277777777778,impagn97,PLINE300,1070,4,impagn97,"",HELIOS460,,42199/00160
2023-01-03 15:08:39,1.75,0,Full wafer experiment D06-08,2023-01-03 17:00:00,1.1902777777777778,li99,PLINE300,1451,1.5,li99,LP1;PM6,LAM_E6_2,,38199/01715
2023-01-03 15:30:00,0,,cross-section,2023-01-03 16:30:00,,"",PLINE200,2238,1,wodarz95,"",XL30_CF,,97406/01185
2023-01-03 15:51:56,1.75,,"",2023-01-03 17:38:04,1.768888888888889,vrebos45,PLINE300,958,,"","",HELIOS1200,,39320/36502
2023-01-03 15:54:41,17.5,0,Tb measurements for LDZ,2023-01-04 09:28:38,17.565833333333334,talmel16,PLINE200,427,17,chen66,"",EV11,,31499/02180
2023-01-03 16:00:00,0.5,,new Monitor run,2023-01-03 16:30:00,,"",PLINE300,362,0.5,schoof76,PM,EP5,,31199/00653
2023-01-03 16:00:00,1.5,,GATR FTIR,2023-01-03 17:30:00,,"",PLINE300,505,1.5,naqvi66,"",FTIR_2,,31199/01988
2023-01-03 16:00:00,1.5,,Internal process development,2023-01-03 17:30:00,,"",PLINE300,12,1.5,chauha79,"",2830ZT,,30990/32063
2023-01-03 16:00:00,2,,FEM measurements,2023-01-03 18:00:00,,"",PLINE300,1201,2,das89,"",HITACHI5000,,38199/01284
2023-01-03 16:30:00,0.5,,ASML private,2023-01-03 17:00:00,,"",PLINE300,2515,0.5,aubert85,"",LithoCluster_3400,,31199/01571
2023-01-03 17:00:00,0.5,,FEM,2023-01-03 17:30:00,,"",PLINE300,2517,0.5,dauend87,"",LithoCluster_3400,,98601/00962
2023-01-03 17:00:00,1.5,,Devinps,2023-01-03 18:30:00,,"",PLINE300,1658,1.5,janard53,"",PROVISION2E,,38199/01952
2023-01-03 17:00:00,1.5,,Imaging electrodeposited layers,2023-01-03 18:30:00,,"",PLINE300,1556,1.5,aarts61,"",NOVA200_2,,97406/01185
2023-01-03 17:30:00,0.5,,ATR-FTIR with liquid cell,2023-01-03 18:00:00,,"",PLINE300,507,0.5,wu78,"",FTIR_2,,32005/00330
2023-01-03 18:00:00,1,,measure lot,2023-01-03 19:00:00,,"",PLINE300,2510,1,schaap,"",LithoCluster_2000,,31199/31811
2023-01-03 18:00:00,2,,devinp,2023-01-03 20:00:00,,"",PLINE300,1203,2,debacker,"",HITACHI5000,,31199/00653
2023-01-03 18:30:00,1.5,,i,2023-01-03 20:00:00,,"",PLINE300,1773,1.5,redants,"",SEMVISION,,44999/01997
2023-01-03 18:44:04,2.5,,"",2023-01-03 21:14:38,2.5094444444444446,vrebos45,PLINE300,2160,,"","",VERIOS,,39320/36502
2023-01-03 18:57:32,2.5,,"",2023-01-03 21:22:00,2.4077777777777776,derudd92,PLINE300,959,,"","",HELIOS1200,,39320/36502
2023-01-03 19:00:00,14,,use,2023-01-04 09:00:00,,"",PLINE300,639,14,zidan45,"",H6300,,31199/01988
2023-01-03 19:25:06,0.75,,"",2023-01-03 20:08:01,0.7152777777777778,aarts61,PLINE300,1566,,"","",NOVA200_2,,97406/01185
2023-01-03 21:56:08,4,,"",2023-01-04 01:49:38,3.8916666666666666,vdstaey,PLINE300,2161,,"","",VERIOS,,39320/36502
2023-01-03 22:00:00,12,,MAZO process development,2023-01-04 10:00:00,,"",PLINE300,2268,12,pavel13,LP1;PM2;PM3;PM1,XP4_4,,31499/01284
2023-01-03 22:08:36,3.5,,"",2023-01-04 01:37:33,3.4825,konecn85,PLINE300,876,,"","",HELIOS1200,,97700/01368
2023-01-03 22:31:38,0,,"",2023-01-03 23:23:11,0.8591666666666666,michal78,PLINE300,1807,,"","",SEMVISION,,39320/36502
2023-01-03 22:34:11,3.25,,"",2023-01-04 01:54:53,3.345,gade18,PLINE300,981,,"","",HELIOS1200_2,,39320/36502
2023-01-03 23:23:24,3.75,,"",2023-01-04 03:01:21,3.6325,michal78,PLINE300,1806,,"","",SEMVISION,,39320/36502
2023-01-04 02:07:41,4,,"",2023-01-04 06:00:38,3.8825,vdstaey,PLINE300,960,,"","",HELIOS1200,,39320/36502
2023-01-04 02:41:10,3.25,,"",2023-01-04 05:50:47,3.160277777777778,konecn85,PLINE300,2173,,"","",VERIOS,,31499/00379
2023-01-04 03:01:38,0.5,,"",2023-01-04 03:30:22,0.47888888888888886,michal78,PLINE300,1805,,"","",SEMVISION,,39320/36502
2023-01-04 04:00:00,6,,FAB XSEM support,2023-01-04 10:00:00,,"",PLINE300,1956,6,caluwaer,"",SU8000,,42199/00160
2023-01-04 04:14:00,2.25,,"",2023-01-04 06:23:06,2.151666666666667,michal78,PLINE300,983,,"","",HELIOS1200_2,,39320/36502
2023-01-04 06:00:00,2,,i,2023-01-04 08:00:00,,"",PLINE300,1741,2,engelen,"",SEMVISION,,31029/01811
2023-01-04 06:19:56,1.5,,"",2023-01-04 07:53:09,1.553611111111111,sterke41,PLINE300,961,,"","",HELIOS1200,,39320/36502
2023-01-04 06:25:38,7.25,,"",2023-01-04 13:34:26,7.1466666666666665,dutrow20,PLINE300,2165,,"","",VERIOS,,39320/36502
2023-01-04 06:27:39,3.25,,"",2023-01-04 09:37:17,3.1605555555555553,decler36,PLINE300,990,,"","",HELIOS1200_2,,39320/36502
2023-01-04 07:00:00,3,,pwec,2023-01-04 10:00:00,,"",PLINE300,1175,3,baudem,"",HITACHI5000,,31199/01920
2023-01-04 07:20:47,1.25,0,test strip rate with cool down,2023-01-04 08:30:00,0.6080555555555556,nedelj21,PLINE200,1917,1,nedelj21,PM2;PM3,SPTS_OMEGA,,36004/01224
2023-01-04 07:55:36,2,0,i,2023-01-04 10:00:00,2.0244444444444443,dangol,PLINE300,942,2,dangol,"",HELIOS1200,,37092/02172
2023-01-04 08:00:00,0,,TEM,2023-01-04 16:00:00,,"",PLINE300,2070,8,faviap,"",TITAN,,42199/00160
2023-01-04 08:00:00,1,,scrjdp,2023-01-04 09:00:00,,"",PLINE300,1345,1,vanderey,"",KLA2925,,31199/31191
2023-01-04 08:00:00,2,,Test,2023-01-04 10:00:00,,"",PLINE300,2379,2,dilien72,"",TR3300,,31199/30079
2023-01-04 08:00:00,2.5,0,Biocube resist inspection,2023-01-04 10:36:53,1.9325,leruth67,PLINE300,1548,1.5,leruth67,"",NOVA200_2,,44999/01997
2023-01-04 08:19:52,1,,"",2023-01-04 09:23:15,1.0563888888888888,billin72,PLINE300,1940,,"","",SU8000,,39320/36502
2023-01-04 08:30:00,4,,p,2023-01-04 12:30:00,,"",PLINE300,457,4,goovae19,LP1;LP2;LP3;PM1,EXTREME_2,,98601/01062
2023-01-04 09:00:00,0,,ws2,2023-01-04 16:00:00,,"",PLINE300,1966,7,koylan92,"",TECNAIF30,,42199/00160
2023-01-04 09:00:00,1.5,,recipe setup,2023-01-04 10:30:00,,"",PLINE300,124,1.5,baudem,"",ARCHER700,,38199/01836
2023-01-04 09:00:00,2,,AL225331 - D05 D10,2023-01-04 11:00:00,,"",PLINE300,1293,2,beggia74,"",KLA2925,,31199/00653
2023-01-04 09:00:00,2,,devinp,2023-01-04 11:00:00,,"",PLINE300,1603,2,vbelle62,"",NX3DM,,36003/01224
2023-01-04 09:00:00,2,,DSA,2023-01-04 11:00:00,,"",PLINE300,744,2,vanbel53,"",H6300,,31199/00650
2023-01-04 09:00:00,4,,TOK bonding,2023-01-04 13:00:00,,"",PLINE200,146,4,thomas82,"",BONDER_200,,44042/49500
2023-01-04 09:00:00,5,,DSA,2023-01-04 14:00:00,,"",PLINE300,2119,5,verstr99,BOTL,TRDUOS,,31199/00650
2023-01-04 09:00:00,8,,Queue Quality check;APC;afd,2023-01-04 17:00:00,,"",PLINE300,397,8,schoof76;hsia24;schelc12,SN,EP5,,31199/01057
2023-01-04 09:00:00,9,,mm300,2023-01-04 18:00:00,,"",PLINE300,1246,9,kennes63,"",HYBRID_BONDER,,31012/01084
2023-01-04 09:15:16,2.75,0,DSA,2023-01-04 12:00:00,2.2569444444444446,verstr99,PLINE300,264,2,verstr99,PM,EDR7100,,31199/00650
2023-01-04 09:30:00,0.5,,recipe creation,2023-01-04 10:00:00,,"",PLINE300,773,0.5,dauend87,"",H6300_2,,98600/00962
2023-01-04 09:30:00,0.5,0,Test,2023-01-04 10:00:00,0.2872222222222222,cloost23,PLINE300,2527,0.5,dilien72,"",LithoCluster_3400,,31199/30079
2023-01-04 09:30:00,1,,ATR-FTIR with liquid cell,2023-01-04 10:30:00,,"",PLINE300,489,1,wu78,"",FTIR_2,,32005/00330
2023-01-04 09:30:00,2,,Microscope check cracks,2023-01-04 11:30:00,,"",PLINE300,1255,2,guo48,"",INS300,,98300/14175
2023-01-04 09:52:30,2.25,0,MOKE dev JDP KLA,2023-01-04 12:00:16,2.1294444444444443,talmel16,PLINE300,1642,2,talmel16,"",POLARKERR_2,,38199/00432
2023-01-04 09:56:58,4,,"",2023-01-04 13:56:25,3.9908333333333332,zeleni15,PLINE300,996,,"","",HELIOS1200_2,,39320/36502
2023-01-04 10:00:00,1,,for Mohand,2023-01-04 11:00:00,,"",PLINE300,1160,1,raymae79,"",HITACHI5000,,31199/01918
2023-01-04 10:00:00,1,,making samples,2023-01-04 11:00:00,,"",PLINE300,2634,1,genjim61,"",LithoCluster_3400,,31199/02273
2023-01-04 10:00:00,1,,SALSA3 development,2023-01-04 11:00:00,,"",PLINE300,2334,1,herman57,BOTL,TR1950,,31199/00653
2023-01-04 10:00:00,1,,Training,2023-01-04 11:00:00,,"",PLINE300,2335,1,drent34,"",TR2000,,31199/31811
2023-01-04 10:00:00,4,,hmq and measurement,2023-01-04 14:00:00,,"",PLINE300,2317,4,canga29,"",YS375,,38199/02270
2023-01-04 10:00:00,4,,INPRIA,2023-01-04 14:00:00,,"",PLINE300,2370,4,choudr12,"",TR3300,,31199/31247
2023-01-04 10:00:00,7.5,,Removal Rate determination 3 dif,2023-01-04 17:30:00,,"",PLINE300,1692,7.5,kenens78,LP1;LP2;CLN,REFLEXION_4,,98850/02021
2023-01-04 11:00:00,1,,i,2023-01-04 12:00:00,,"",PLINE300,724,1,raymae79,"",H6300,,31199/01918
2023-01-04 11:00:00,1,,Light Training,2023-01-04 12:00:00,,"",PLINE300,1349,1,peters25,"",KLA2925,,31199/02273
2023-01-04 11:00:00,2,,coupon etching,2023-01-04 13:00:00,,"",PLINE300,1359,2,fathze21,LP2;PM3,LAM_E5,,31299/02062
2023-01-04 11:00:00,2,,lam work,2023-01-04 13:00:00,,"",PLINE300,855,2,haider15,"",H6300_2,,31199/01617
2023-01-04 11:00:00,2,,pwec,2023-01-04 13:00:00,,"",PLINE300,1216,2,baudem,"",HITACHI5000,,31199/01920
2023-01-04 11:30:00,0,,devinp operation,2023-01-04 12:30:00,,"",PLINE300,1510,1,mudige97,LP2;P1L2,NOKOTA,,32299/00013
2023-01-04 12:00:00,1,,Test,2023-01-04 13:00:00,,"",PLINE300,1901,1,dilien72,"",SP5,,31199/30079
2023-01-04 12:00:00,2,,scrjdp,2023-01-04 14:00:00,,"",PLINE300,746,2,vanderey,"",H6300,,31199/31191
2023-01-04 12:00:00,4,,High NA track qualification,2023-01-04 16:00:00,,"",PLINE300,2560,4,vdbroecn,"",LithoCluster_3400,,31199/02273
2023-01-04 12:00:00,4,,MAZO/ZMO o3 process,2023-01-04 16:00:00,,"",PLINE300,2267,4,thukka30,LP1;PM1,XP4_4,,30990/32063
2023-01-04 12:30:00,0,,X-section SEM,2023-01-04 15:30:00,,"",PLINE200,1514,3,stokhof,"",NOVA200,,30990/02250
2023-01-04 12:30:00,2.5,,Monitor,2023-01-04 15:00:00,,"",PLINE300,361,2.5,schoof76,PM,EP5,,31199/00653
2023-01-04 12:30:00,3,,sem nil;sem NIL,2023-01-04 15:30:00,,"",PLINE300,1592,3,willegem,"",NOVA200_2,,97401/01743
2023-01-04 13:00:00,2,,EUVR,2023-01-04 15:00:00,,"",PLINE300,1212,2,kim94,"",HITACHI5000,,31199/01680
2023-01-04 13:00:00,2,,Test,2023-01-04 15:00:00,,"",PLINE300,292,2,dilien72,PM,EDR7100,,31199/30079
2023-01-04 13:00:00,2,,Test,2023-01-04 15:00:00,,"",PLINE300,854,2,furuka28,"",H6300_2,,31199/01514
2023-01-04 13:00:00,14,,Pellicle;pellicle,2023-01-05 03:00:00,,"",PLINE300,2295,14,bekaert,"",YS250,,31199/00979
2023-01-04 14:00:00,1,,i,2023-01-04 15:00:00,,"",PLINE300,1841,1,dusar,"",SEMVISION,,31029/01811
2023-01-04 14:00:00,1,,Measurement,2023-01-04 15:00:00,,"",PLINE300,1219,1,wang24,"",HITACHI9380,,31199/01889
2023-01-04 14:00:00,1,0,i,2023-01-04 15:02:19,0.9927777777777778,vrancken,PLINE300,1003,1,vrancken,"",HELIOS1200_2,,37092/02172
2023-01-04 14:00:00,2.75,0,AL218747/3 D17 D18 D21,2023-01-04 18:00:00,1.7944444444444445,beggia74,PLINE300,1654,4,beggia74,"",PROVISION2E,,31199/00653
2023-01-04 14:00:00,3,,use,2023-01-04 17:00:00,,"",PLINE300,672,3,zidan45,"",H6300,,31199/01988
2023-01-04 14:00:00,4,,FIB,2023-01-04 18:00:00,,"",PLINE300,1079,4,impagn97,"",HELIOS460,,42199/00160
2023-01-04 14:14:30,3.75,,"",2023-01-04 18:05:01,3.8419444444444446,derudd92,PLINE300,963,,"","",HELIOS1200,,39320/36502
2023-01-04 14:17:25,3,,"",2023-01-04 17:14:31,2.9516666666666667,vrebos45,PLINE300,2149,,"","",VERIOS,,39320/36502
2023-01-04 15:00:00,0.5,,Data copy,2023-01-04 15:30:00,,"",PLINE300,363,0.5,hasan30,PM,EP5,,31199/01876
2023-01-04 15:00:00,0.5,,DSA,2023-01-04 15:30:00,,"",PLINE300,598,0.5,kampit73,"",H5000_2,,31199/01680
2023-01-04 15:00:00,0.5,,MHM,2023-01-04 15:30:00,,"",PLINE300,1380,0.5,kampit73,LP1;PM1,LAM_E5_2,,31199/01680
2023-01-04 15:00:00,1,,use,2023-01-04 16:00:00,,"",PLINE300,1154,1,debruy71,"",HITACHI5000,,38199/37862
2023-01-04 15:00:00,1.5,0,Devinps,2023-01-04 16:30:00,1.3186111111111112,janard53,PLINE300,1857,1.5,janard53,"",SEMVISION,,37092/02170
2023-01-04 15:00:00,2,,recipe,2023-01-04 17:00:00,,"",PLINE300,851,2,vdbroecn,"",H6300_2,,31199/31811
2023-01-04 15:10:56,3,,"",2023-01-04 18:11:00,3.0011111111111113,lookma25,PLINE300,978,,"","",HELIOS1200_2,,37092/02172
2023-01-04 15:30:00,0.5,,coat,2023-01-04 16:00:00,,"",PLINE300,2345,0.5,dauend87,"",TR2000,,98601/00962
2023-01-04 15:30:00,2,,tem prep,2023-01-04 17:30:00,,"",PLINE300,1109,2,seidelf,"",HELIOS_G5,,39320/36502
2023-01-04 16:00:00,1,,Merck JDP,2023-01-04 17:00:00,,"",PLINE300,2635,1,verstr99,"",LithoCluster_3400,,31199/00650
2023-01-04 16:00:00,3,,devinp,2023-01-04 19:00:00,,"",PLINE300,1173,3,debacker,"",HITACHI5000,,31199/00653
2023-01-04 16:00:00,5.5,0,EBR clean BB510,2023-01-04 21:30:00,3.6975,lefevr14,PLINE200,202,3.5,lefevr14,"",DEBOND_CLEANER,,98300/01618
