,Begin,Cluster,Description,End,Fab300_Duration,Fab300_User_id,FACILITY,IIO_Duration,IIO_User_id,Modules,Tool,WBS,LithoCluster,Scanners.id,TR_Cluster
19,2022-10-31 09:00:00,0.0,measuremetn trilayer,2022-10-31 13:00:00,3.125277777777778,perezl56,PLINE200,4.0,perezl56,,CIPT,31499/01838,,,
20,2022-10-31 09:00:00,0.0,training,2022-10-31 16:00:00,4.2325,koylan92,PLINE300,7.0,koylan92,,TECNAIF30,42199/00160,,,
21,2022-10-31 09:08:56,0.0,Development of NbTiN at 420oC,2022-10-31 17:00:00,7.749444444444444,soulie26,PLINE300,7.0,soulie26,LP1;CH1_MC;CHE,ENDURA_5,43900/02205,,,
22,2022-10-31 09:20:52,0.0,coupon samples for Donggyu Kim,2022-10-31 18:07:22,8.775,kim19,PLINE300,7.0,ripj,,METRIXL,32005/01299,,,
23,2022-10-31 09:30:00,,recipe check,2022-10-31 12:00:00,,,PLINE200,2.5,moet12,,KLA2351,32299/01959,,,
24,2022-10-31 09:30:00,,Tool-to-tool offset,2022-10-31 11:00:00,,,PLINE300,1.5,newman74,,H6300,31199/01995,,,
25,2022-10-31 09:30:00,0.0,BS/BVL LF development,2022-10-31 13:30:00,2.810833333333333,dith82,PLINE300,4.0,dith82,LP1;LP2;LP3;LP4;PM_R2,DVPRIME_1,36026/01967,,,
26,2022-10-31 09:30:00,0.0,measurement,2022-10-31 10:00:00,0.4147222222222222,arnou66,PLINE300,0.5,arnou66,,SP5,30990/32063,,,
27,2022-10-31 09:38:21,0.0,AL208143/1,2022-10-31 11:30:00,1.6736111111111112,chen70,PLINE200,1.5,chen70,,SAM_AW300,32299/02107,,,
28,2022-10-31 09:53:30,0.0,development,2022-10-31 11:00:00,1.0141666666666669,puliya38,PLINE300,1.0,puliya38,LP1;PM1,TEL_TACTRAS2,37093/02175,,,
29,2022-10-31 10:00:00,,APC,2022-10-31 12:00:00,,,PLINE300,2.0,hasan30,PM,EP5,31199/01391,,,
30,2022-10-31 10:00:00,,coupon etch,2022-10-31 12:00:00,,,PLINE300,2.0,paolil45,LP1;PM6,TEL_TACTRAS3,31199/01988,,,
31,2022-10-31 10:00:00,,DSA,2022-10-31 12:00:00,,,PLINE300,2.0,vanbel53,PM,EDR7100,31199/00650,,,
32,2022-10-31 10:00:00,,euv test,2022-10-31 11:00:00,,,PLINE200,1.0,pollenti,,ASM750,31199/01851,,,
33,2022-10-31 10:00:00,,euv test,2022-10-31 11:00:00,,,PLINE200,1.0,pollenti,,TELACT8_750,31199/01851,,,
34,2022-10-31 10:00:00,,measurement,2022-10-31 13:00:00,,,PLINE300,3.0,castel93,,FTIR_2,31199/31247,,,
35,2022-10-31 10:00:00,,q,2022-10-31 14:00:00,,,PLINE300,4.0,vdbroecn,,GS1000,31199/01655,,,
36,2022-10-31 10:00:00,,Recipe set up,2022-10-31 12:30:00,,,PLINE300,2.5,janard53,,SEMVISION,00999/00505,,,
37,2022-10-31 10:00:00,,rewfwef,2022-10-31 12:00:00,,,PLINE300,2.0,schoof76,SN,EP5,31199/01057,,,
38,2022-10-31 10:00:00,,SPC set-up on alternative wafer,2022-10-31 13:30:00,,,PLINE300,3.5,tielens,,JVX7300M,36003/36504,,,
41,2022-10-31 10:00:00,0.0,iLiME ID:20220819-103159-sinha70,2022-10-31 14:00:00,2.018333333333333,dara85,PLINE300,4.0,dara85,,TXRF300,31499/00379,,,
42,2022-10-31 10:30:00,,ER_D_Use,2022-10-31 11:00:00,,,PLINE300,0.5,her70,,H6300_2,31199/01680,,,
43,2022-10-31 10:47:41,0.0,Oxide depositions,2022-10-31 14:30:00,1.6194444444444445,gomezg80,PLINE300,3.5,gomezg80,LP1;PM2,EXTREME_1,39424/01224,,,
44,2022-10-31 10:55:16,,,2022-10-31 12:34:15,1.6497222222222223,billin72,PLINE300,,,,VERIOS,39320/36502,,,
46,2022-10-31 11:00:00,,develop,2022-10-31 12:00:00,,,PLINE300,1.0,krishtab,LP3;PM1,TEL_TACTRAS,31199/01765,,,
47,2022-10-31 11:00:00,,DSA,2022-10-31 13:00:00,,,PLINE300,2.0,vanbel53,,H6300,31199/00650,,,
48,2022-10-31 11:00:00,,light training,2022-10-31 13:30:00,,,PLINE300,2.5,johnsu91,,KLA2925,31199/02273,,,
49,2022-10-31 11:00:00,,measure,2022-10-31 13:00:00,,,PLINE300,2.0,paolil45,,H6300_2,31199/01988,,,
50,2022-10-31 11:05:34,,,2022-10-31 13:02:38,1.951111111111111,seidelf,PLINE300,,,,HELIOS1200_2,39320/36502,,,
51,2022-10-31 11:25:08,,,2022-10-31 13:44:15,2.318611111111111,billin72,PLINE300,,,,SU8000,39320/36502,,,
52,2022-10-31 11:30:00,,MAZO w/ H2O recipe development,2022-10-31 13:00:00,,,PLINE300,1.5,pavel13,,2830ZT,31499/01284,,,
53,2022-10-31 12:00:00,,m,2022-10-31 14:00:00,,,PLINE300,2.0,vdries51,BOTL,TRDUOS,31199/01413,,,
54,2022-10-31 12:00:00,,MAZO w/ H2O recipe development,2022-10-31 13:00:00,,,PLINE300,1.0,pavel13,,F5_SCD,31499/01284,,,
55,2022-10-31 12:00:00,,measurement,2022-10-31 13:00:00,,,PLINE200,1.0,tricas85,,SP1_DLS,30990/32063,,,
56,2022-10-31 12:00:00,,metro,2022-10-31 13:00:00,,,PLINE300,1.0,knaepen,,SP5,30990/32063,,,
57,2022-10-31 12:00:00,,TAPES3,2022-10-31 15:00:00,,,PLINE300,3.0,yang33,SN,EP5,31199/01988,,,
58,2022-10-31 12:00:00,,Training Marcus and Kalai,2022-10-31 15:00:00,,,PLINE300,3.0,schoof76,PM,EP5,31199/00653,,,
59,2022-10-31 12:00:00,0.0,metro,2022-10-31 13:00:00,0.0080555555555555,hsingy35,PLINE300,1.0,houben21,,SCD100,30990/32063,,,
60,2022-10-31 13:00:00,,hitachi,2022-10-31 15:00:00,,,PLINE300,2.0,wei34,,H6300_2,31199/01179,,,
61,2022-10-31 13:00:00,,MAZO w/ H2O recipe development,2022-10-31 20:00:00,,,PLINE300,7.0,pavel13,LP1;PM1,XP4_4,31499/01284,,,
62,2022-10-31 13:00:00,,process,2022-10-31 17:00:00,,,PLINE300,4.0,fukui39,LP1;LP2;PM6,TEL_TACTRAS3,31199/02273,,,
63,2022-10-31 13:00:00,,processing lot on hold,2022-10-31 16:00:00,,,PLINE200,3.0,schoofs,,300MM_DICER,31012/01506,,,
64,2022-10-31 13:00:00,,use,2022-10-31 14:00:00,,,PLINE300,1.0,ledain47,,H6300,98601/01062,,,
65,2022-10-31 13:30:00,,Inpria,2022-10-31 16:00:00,,,PLINE300,2.5,doise23,,KLA2925,31199/31247,,,
66,2022-10-31 13:30:00,,test,2022-10-31 15:00:00,,,PLINE300,1.5,pena,,JVX7300M,98601/01847,,,
67,2022-10-31 13:30:00,0.0,devinp,2022-10-31 15:00:00,1.1005555555555555,stiersk,PLINE300,1.5,stiersk,LP1;LP2;LP3;PM1;PM2;PM3,CIRCL,36003/36503,,,
68,2022-10-31 13:30:00,0.0,prcoess hold lot with BS APM,2022-10-31 17:00:00,2.265833333333333,lai86,PLINE300,3.5,lai86,LP1;PM_L1;PM_L2,DVPRIME_1,37092/02174,,,
69,2022-10-31 14:00:00,,hot purge,2022-11-01 12:00:00,,,PLINE300,22.0,liang13,LP2;PM2,XP4_2,30990/32063,,,
71,2022-10-31 14:00:00,,Insp,2022-10-31 15:00:00,,,PLINE300,1.0,dusar,,SEMVISION,37004/37141,,,
72,2022-10-31 14:00:00,,metro,2022-10-31 15:00:00,,,PLINE300,1.0,houben21,,SCD100,30990/32063,,,
73,2022-10-31 14:00:00,,proc  dev,2022-10-31 17:00:00,,,PLINE300,3.0,ramane56,,H6300,31199/02273,,,
76,2022-10-31 14:00:00,0.0,sem,2022-10-31 15:30:00,0.7483333333333333,tsvetani,PLINE300,1.5,tsvetani,,NOVA200_2,38199/01838,,,
77,2022-10-31 14:07:55,,,2022-10-31 17:37:43,3.4966666666666666,peeter11,PLINE300,,,,HELIOS1200,37092/02172,,,
78,2022-10-31 14:30:00,,Pre-bow measurement,2022-10-31 17:00:00,,,PLINE200,2.5,vdalon75,,FSM_CU,98601/32063,,,
79,2022-10-31 14:30:00,0.0,devinp,2022-10-31 21:36:37,6.439166666666667,vbelle62,PLINE300,7.0,vbelle62,,NX3DM,36003/01224,,,
80,2022-10-31 14:58:17,,,2022-10-31 16:59:03,2.012777777777778,billin72,PLINE300,,,,VERIOS,39320/36502,,,
81,2022-10-31 15:00:00,,metro,2022-10-31 16:00:00,,,PLINE300,1.0,knaepen,,SP5,30990/32063,,,
82,2022-10-31 15:00:00,,pline use,2022-11-01 12:00:00,,,PLINE300,21.0,roekens,,JVX7300M,36003/36503,,,
83,2022-10-31 15:00:00,,xcbzb,2022-10-31 17:00:00,,,PLINE300,2.0,schoof76,SN,EP5,31199/01057,,,
86,2022-10-31 15:30:00,,Devinps,2022-10-31 17:00:00,,,PLINE300,1.5,stiersk,,SEMVISION,32299/01084,,,
87,2022-10-31 15:30:00,,Devinps,2022-10-31 18:30:00,,,PLINE300,3.0,gompou79,LP1;LP2;LP3;PM1;PM2;PM3,CIRCL,36003/36503,,,
88,2022-10-31 15:30:00,0.0,AE208489,2022-10-31 16:30:00,0.5433333333333333,jehoul60,PLINE300,1.0,haider15,LP1;PM1,LAM_E6,31199/01918,,,
89,2022-10-31 15:30:00,0.0,Inspection SIGE,2022-10-31 18:30:28,1.4905555555555556,rengo74,PLINE300,2.5,rengo74,,NOVA200_2,32499/01906,,,
90,2022-10-31 15:48:39,,,2022-10-31 17:29:57,1.6883333333333332,martin29,PLINE300,,,,METRIOS,42199/00160,,,
91,2022-10-31 16:00:00,,light training,2022-10-31 17:00:00,,,PLINE300,1.0,johnsu91,,KLA2925,31199/02273,,,
92,2022-10-31 16:00:00,,Wafer processing,2022-10-31 19:00:00,,,PLINE300,3.0,feurpr61,LP3;PM6,TEL_TACTRAS2,31199/02273,,,
93,2022-10-31 16:30:00,,Coating,2022-10-31 17:00:00,,,PLINE300,0.5,naqvi66,BOTL,TRDUOS,31199/01988,,,
100,2022-10-31 17:00:00,,inpria;INPRIA,2022-10-31 22:00:00,,,PLINE300,5.0,doise23;deschepp,,H5000_2,31199/31247,,,
103,2022-10-31 17:00:00,,m,2022-10-31 20:00:00,,,PLINE300,3.0,vdries51,,H6300,31199/01413,,,
104,2022-10-31 17:30:00,,develop,2022-10-31 18:00:00,,,PLINE300,0.5,naqvi66,BOTL,TRDUOS,31199/01988,,,
105,2022-10-31 17:56:16,,,2022-10-31 20:43:26,2.786111111111111,verhoevj,PLINE300,,,,SEMVISION,36003/36503,,,
106,2022-10-31 18:00:00,,test,2022-10-31 18:30:00,,,PLINE300,0.5,wouter12,,SCD100,31199/30079,,,
107,2022-10-31 18:35:30,,,2022-10-31 21:36:00,3.0083333333333333,peeter11,PLINE300,,,,VERIOS,36003/36502,,,
108,2022-10-31 19:00:00,,'-,2022-11-01 00:00:00,,,PLINE300,5.0,pauluss,,HELIOS_G5,42199/00160,,,
109,2022-10-31 19:00:00,,FTIR,2022-10-31 21:30:00,,,PLINE300,2.5,wu78,,FTIR_2,32005/00330,,,
110,2022-10-31 19:30:00,,Devinps,2022-10-31 21:30:00,,,PLINE300,2.0,gompou79,LP1;LP2;LP3;PM1;PM2;PM3,CIRCL,36003/36503,,,
111,2022-10-31 20:00:00,,'-,2022-11-01 02:00:00,,,PLINE300,6.0,pauluss,,TITAN,42199/00160,,,
112,2022-10-31 20:00:00,,AP3 work,2022-11-01 11:00:00,,,PLINE300,15.0,fukumu91,,H6300,31199/02008,,,
113,2022-10-31 20:45:14,,,2022-10-31 21:34:16,0.8172222222222222,verhoevj,PLINE300,,,,HELIOS1200_2,36003/36503,,,
114,2022-10-31 21:30:00,,MAZO w/ H2O,2022-10-31 22:30:00,,,PLINE300,1.0,pavel13,,2830ZT,31499/01284,,,
115,2022-10-31 22:03:55,,,2022-11-01 01:23:11,3.321111111111111,vrebos45,PLINE300,,,,VERIOS,39320/36502,,,
118,2022-11-01 02:00:00,,test,2022-11-01 04:00:00,,,PLINE300,2.0,vleerb85,,H5000_2,31199/30079,,,
119,2022-11-01 02:32:06,,,2022-11-01 05:54:08,3.3672222222222223,vrebos45,PLINE300,,,,HELIOS1200,39320/36502,,,
120,2022-11-01 03:11:38,,,2022-11-01 05:53:06,2.6911111111111112,derudd92,PLINE300,,,,VERIOS,39320/36502,,,
121,2022-11-01 06:00:00,,i,2022-11-01 08:00:00,,,PLINE300,2.0,redants,,SEMVISION,31029/01811,,,
123,2022-11-01 09:00:00,,proc dev,2022-11-01 13:00:00,,,PLINE300,4.0,ramane56,,H6300_2,31199/02273,,,
125,2022-11-01 10:00:00,,use,2022-11-01 13:00:00,,,PLINE300,3.0,popesc83,BOTL,TRDUOS,31199/01897,,,
126,2022-11-01 10:00:00,0.0,SiGe SPC Development,2022-11-01 16:40:32,6.573611111111111,muraki29,PLINE300,6.0,muraki29,LP2;PM2;PM3;PM5;PM6,TEL_LEAGA,32005/01675,,,
130,2022-11-01 11:00:00,,meas,2022-11-01 15:30:00,,,PLINE300,4.5,oka40,,H6300,31199/30117,,,
131,2022-11-01 12:00:00,,Zeon,2022-11-01 12:30:00,,,PLINE300,0.5,yeh39,,H5000_2,31007/30121,,,
132,2022-11-01 13:00:00,,CD measurment,2022-11-01 14:00:00,,,PLINE300,1.0,naqvi66,,H6300_2,31199/01988,,,
135,2022-11-01 14:00:00,,i,2022-11-01 15:00:00,,,PLINE300,1.0,maes72,,SEMVISION,31029/01811,,,
139,2022-11-01 14:30:00,,sto,2022-11-01 19:00:00,,,PLINE300,4.5,bisschop,,H6300_2,31199/01988,,,
141,2022-11-01 15:00:00,,PLINE use;for p-line lots,2022-11-02 13:30:00,,,PLINE300,22.5,roekens;tielens,,JVX7300M,36003/36503,,,
146,2022-11-01 15:30:00,,meas,2022-11-01 19:00:00,,,PLINE300,3.5,dauend87,,H6300,98600/00962,,,
149,2022-11-01 18:00:00,,TAPES3,2022-11-01 21:00:00,,,PLINE300,3.0,yang33,PM,EP5,31199/01988,,,
150,2022-11-01 19:00:00,,use,2022-11-02 00:00:00,,,PLINE300,5.0,zidan45,,H6300,31199/01918,,,
152,2022-11-01 21:58:19,,,2022-11-02 01:40:04,3.695833333333333,derudd92,PLINE300,,,,HELIOS1200,39320/36502,,,
153,2022-11-02 00:00:00,,use,2022-11-02 02:00:00,,,PLINE300,2.0,zidan45,,H6300,31199/01988,,,
154,2022-11-02 00:38:14,,,2022-11-02 01:41:57,1.0619444444444444,vrebos45,PLINE300,,,,VERIOS,39320/36502,,,
155,2022-11-02 02:00:00,,LS measurementr;proc dev,2022-11-02 11:00:00,,,PLINE300,9.0,genjim61;ramane56,,H6300,31199/02273,,,
156,2022-11-02 02:54:57,,,2022-11-02 05:34:32,2.6597222222222223,vrebos45,PLINE300,,,,HELIOS1200_2,39320/36502,,,
157,2022-11-02 03:18:34,,,2022-11-02 05:57:10,2.643333333333333,derudd92,PLINE300,,,,VERIOS,39320/36502,,,
158,2022-11-02 06:00:00,,test,2022-11-02 10:00:00,,,PLINE300,4.0,vanderey,,ZETA,31199/01960,,,
159,2022-11-02 06:22:13,,,2022-11-02 06:47:00,0.4130555555555555,sainch77,PLINE300,,,,HELIOS1200_2,39320/36502,,,
160,2022-11-02 06:30:00,,TEM prep,2022-11-02 15:00:00,,,PLINE300,8.5,han27,,HELIOS_G5,42199/00160,,,
161,2022-11-02 06:30:00,0.0,Reservation for Jelle,2022-11-02 14:03:06,4.548055555555556,vdweeg61,PLINE300,7.5,vdweeg61,LP1;LP2;CL1A;CL2A;CL3A;LP3;LP4;PM_A;PM_B,F_REX300X_1,38199/01284,,,
162,2022-11-02 06:47:20,,,2022-11-02 09:18:16,2.515555555555556,sainch77,PLINE300,,,,HELIOS1200,39320/36502,,,
163,2022-11-02 06:48:28,,,2022-11-02 09:41:07,2.8775,gade18,PLINE300,,,,HELIOS1200_2,39320/36502,,,
164,2022-11-02 07:30:00,,use,2022-11-02 08:30:00,,,PLINE200,1.0,vicca54,,ASM200,31199/01513,,,
165,2022-11-02 07:30:00,,use,2022-11-02 08:30:00,,,PLINE200,1.0,vicca54,,TELACT8_200,31199/01513,,,
169,2022-11-02 08:20:29,0.0,p,2022-11-02 12:00:00,2.9994444444444444,goovae19,PLINE300,3.0,goovae19,LP1;LP2;PM1,EXTREME_2,31199/01918,,,
170,2022-11-02 08:30:00,,ILLUMINATOR - Preliminary Tests,2022-11-02 09:00:00,,,PLINE200,0.5,palomb58,PM2;PM3,SPTS_OMEGA,36004/01224,,,
173,2022-11-02 08:30:00,,test,2022-11-02 09:00:00,,,PLINE300,0.5,dilien72,,SCD100,31199/30079,,,
174,2022-11-02 08:57:31,0.0,p,2022-11-02 11:19:59,2.3744444444444444,goovae19,PLINE300,2.0,goovae19,,H6300_2,31199/01918,,,
175,2022-11-02 09:00:00,,meas,2022-11-02 11:00:00,,,PLINE300,2.0,chowri97,,KLA2925,31199/01988,,,
176,2022-11-02 09:00:00,,TEOS oxide CMP annealed 2 slurry,2022-11-02 18:00:00,,,PLINE300,9.0,ceulem72,LP1;LP2;H1;H2;H3;H4;PM2;PM3;PM1,REFLEXION_2,32099/01821,,,
179,2022-11-02 09:00:00,,wegwegt,2022-11-02 12:00:00,,,PLINE300,3.0,schoof76,SN,EP5,31199/01057,,,
180,2022-11-02 09:00:00,0.0,Inspection,2022-11-02 10:05:58,0.7172222222222222,dangol,PLINE300,1.0,dangol,,HELIOS1200,38199/00881,,,
181,2022-11-02 09:00:00,0.0,PMMA coupon etch,2022-11-02 11:00:00,0.6227777777777778,arvind29,PLINE300,2.0,arvind29,LP1;PM1,LAM_E6,31199/02272,,,
182,2022-11-02 09:26:22,1.0,SiGe SPC Development,2022-11-02 16:00:00,1.2208333333333334,muraki29,PLINE300,6.0,muraki29,LP2;PM2;PM3;PM5;PM6,TEL_LEAGA,32005/01675,,,
183,2022-11-02 09:30:00,,outgassing,2022-11-02 12:00:00,,,PLINE300,2.5,nynsl,LP1;LL1;PM1,POLYGON8300,31499/00379,,,
184,2022-11-02 09:30:00,0.0,i,2022-11-02 11:00:00,1.1111111111111112,redants,PLINE300,1.5,redants,,NOVA200_2,98300/01618,,,
185,2022-11-02 09:30:02,,,2022-11-02 13:21:04,3.850555555555556,soulie26,PLINE300,,,,ENDURA_5,32005/01697,,,
188,2022-11-02 10:00:00,,measurement,2022-11-02 13:00:00,,,PLINE300,3.0,castel93,,FTIR_2,31199/31247,,,
189,2022-11-02 10:00:00,,Stress on 300mm wafers,2022-11-02 11:00:00,,,PLINE200,1.0,vdalon75,,FSM_CU,98601/32063,,,
190,2022-11-02 10:00:00,,test,2022-11-02 14:00:00,,,PLINE200,4.0,noda11,,ACT12_MTM,31012/01649,,,
191,2022-11-02 10:00:00,0.0,BB305 coat bond,2022-11-02 14:00:00,0.5558333333333333,ghosh40,PLINE200,4.0,ghosh40,,TEMP_BONDER,98500/01852,,,
192,2022-11-02 10:00:00,0.0,sem,2022-11-02 12:54:15,2.716388888888889,beirnaer,PLINE300,2.0,beirnaer,,SEMVISION,32299/00013,,,
193,2022-11-02 10:00:00,1.0,metro,2022-11-02 11:00:00,0.8613888888888889,hsingy35,PLINE300,1.0,houben21,,SCD100,30990/32063,,,
194,2022-11-02 10:15:11,,,2022-11-02 14:07:11,3.8666666666666663,michal78,PLINE300,,,,HELIOS1200,39320/36502,,,
195,2022-11-02 10:30:00,,elay experiment with Qtime contr,2022-11-02 18:00:00,,,PLINE300,7.5,dauend87,LP2;LP3;PM6,TEL_TACTRAS3,98600/00962,,,
196,2022-11-02 10:30:00,0.0,H-barrier exp,2022-11-02 17:30:00,5.805,witterst,PLINE300,7.0,witterst,LP1;CHB,ANELVA,31499/01715,,,
197,2022-11-02 10:49:34,,,2022-11-02 14:02:08,3.2094444444444443,gade18,PLINE300,,,,METRIOS,39320/36502,,,
198,2022-11-02 11:00:00,,BS Cleaning,2022-11-02 13:30:00,,,PLINE300,2.5,rastog28,ATM;SM1;SM2;SM3,SEZ304,30990/32063,,,
199,2022-11-02 11:00:00,,demo,2022-11-02 13:00:00,,,PLINE200,2.0,noda11,,AP300,31012/01649,,,
201,2022-11-02 11:00:00,,m,2022-11-02 12:00:00,,,PLINE300,1.0,vdries51,,H6300,31199/01413,,,
202,2022-11-02 11:00:00,,SPC,2022-11-02 13:30:00,,,PLINE300,2.5,kramac15,,2830ZT,30990/32063,,,
203,2022-11-02 11:00:00,,SVDU training IM,2022-11-02 12:00:00,,,PLINE300,1.0,vanderey,BOTL;TOPL,TRDUOS,31199/31811,,,
204,2022-11-02 11:00:00,,use,2022-11-02 13:00:00,,,PLINE300,2.0,debruy71,,H6300_2,98601/01062,,,
205,2022-11-02 11:30:00,,IMEC Clean (6 wafers),2022-11-02 12:30:00,,,PLINE300,1.0,rastog28,LP1;MPC2,DNS_6,30990/32063,,,
206,2022-11-02 11:30:00,0.0,manual endpointing,2022-11-02 13:00:00,0.7388888888888889,dcosters,PLINE300,1.5,dcosters,LP1;PM1,LAM_E6,38199/01907,,,
207,2022-11-02 11:45:18,,,2022-11-02 13:09:17,1.3997222222222223,dusar,PLINE300,,,,SU8000,98300/01969,,,
208,2022-11-02 11:51:23,0.0,HfOx Deposition;TiN,2022-11-02 18:00:00,4.436111111111111,rastog28,PLINE300,9.0,rastog28,LP3;PM3;LP2;PM2,XP4_2,30990/32063,,,
210,2022-11-02 12:00:00,,light training,2022-11-02 14:00:00,,,PLINE300,2.0,johnsu91,,KLA2925,31199/02273,,,
211,2022-11-02 12:00:00,,measurement,2022-11-02 13:00:00,,,PLINE200,1.0,tricas85,,SP1_DLS,30990/32063,,,
212,2022-11-02 12:00:00,,queue,2022-11-02 14:00:00,,,PLINE300,2.0,dauend87,,H6300,98600/00962,,,
213,2022-11-02 12:00:00,0.0,test,2022-11-02 13:30:00,1.0138888888888888,lecocq91,PLINE300,1.5,dilien72,,H5000_2,31199/30079,,,
214,2022-11-02 12:00:00,2.0,metro,2022-11-02 13:08:50,0.9919444444444444,hsingy35,PLINE300,1.0,houben21,,SCD100,30990/32063,,,
216,2022-11-02 13:00:00,,Al2O3 deposition on WS2,2022-11-02 19:00:00,,,PLINE300,6.0,lin98,LP1;LP2;PM4,POLYGON8300,31499/00881,,,
217,2022-11-02 13:00:00,,arg,2022-11-02 15:00:00,,,PLINE300,2.0,schoof76,PM,EP5,31199/01995,,,
218,2022-11-02 13:00:00,,FFEM DOE FEMS,2022-11-02 16:30:00,,,PLINE300,3.5,vanderey,TOPL;BOTL,TRDUOS,31199/31191,,,
219,2022-11-02 13:00:00,,m,2022-11-02 15:00:00,,,PLINE300,2.0,vdries51,,H6300_2,31199/01413,,,
220,2022-11-02 13:00:00,,measurement,2022-11-02 16:00:00,,,PLINE200,3.0,rengo74,,CIPT,32401/32513,,,
221,2022-11-02 13:00:00,,Process development,2022-11-02 14:00:00,,,PLINE300,1.0,rupp93,,NOVA200_2,97406/01934,,,
222,2022-11-02 13:30:00,,spc centura_epi,2022-11-02 14:30:00,,,PLINE300,1.0,pena,,JVX7300M,98600/01847,,,
223,2022-11-02 13:43:46,0.0,Bonding of PAT on Glass on PI,2022-11-02 18:00:00,2.1213888888888888,segers56,PLINE200,4.0,segers56,,BONDER_200,97401/14983,,,
225,2022-11-02 14:00:00,,cure of polymer,2022-11-02 18:00:00,,,PLINE200,4.0,noda11,,BLUE_M_BCB,31012/01649,,,
226,2022-11-02 14:00:00,,Inpria,2022-11-02 18:00:00,,,PLINE300,4.0,doise23,,H5000_2,31199/31247,,,
227,2022-11-02 14:00:00,,Inpria,2022-11-03 00:00:00,,,PLINE300,10.0,giorda12;doise23,,KLA2925,31199/31247,,,
230,2022-11-02 14:00:00,,R,2022-11-02 15:00:00,,,PLINE300,1.0,kampit73,,H6300,31199/01680,,,
231,2022-11-02 14:00:00,,Rinse,2022-11-02 16:00:00,,,PLINE300,2.0,kampit73,PM,EDR7100,31199/01680,,,
232,2022-11-02 14:00:00,,xsem,2022-11-02 15:30:00,,,PLINE300,1.5,vais,,NOVA200_2,97700/01345,,,
233,2022-11-02 14:00:00,0.0,Insp,2022-11-02 16:37:12,2.210277777777778,dusar,PLINE300,1.0,dusar,,SEMVISION,98300/01618,,,
234,2022-11-02 14:08:02,,,2022-11-02 17:12:41,3.0775,pavlov38,PLINE300,,,,HELIOS1200,39320/36502,,,
235,2022-11-02 14:26:32,0.0,use,2022-11-02 15:30:00,0.6019444444444444,debruy71,PLINE300,1.0,debruy71,LP4;PM4;PM1,LAM_E6,38199/37862,,,
236,2022-11-02 14:27:16,,,2022-11-02 18:19:46,3.875,martin29,PLINE300,,,,METRIOS,42199/00160,,,
237,2022-11-02 14:30:00,,spc test,2022-11-02 15:00:00,,,PLINE300,0.5,pena,,JVX7300M,98601/01847,,,
238,2022-11-02 14:46:03,0.0,HF-O3-APM clean of bare si,2022-11-02 17:36:08,2.834722222222222,drent34,PLINE300,2.0,drent34,LP1;LP2;MPC8,DNS_6,31199/31811,,,
241,2022-11-02 15:00:00,,d,2022-11-02 16:00:00,,,PLINE300,1.0,gupta76,,H6300_2,31199/01321,,,
242,2022-11-02 15:00:00,,devinp,2022-11-02 21:30:00,,,PLINE300,6.5,vbelle62,,NX3DM,36003/01224,,,
243,2022-11-02 15:00:00,,FEM job,2022-11-02 16:00:00,,,PLINE300,1.0,mingar54,,H6300,31199/00653,,,
