,FACILITY,Tool,WBS,Cluster,Fab300_Begin,IIO_Begin,Fab300_End,IIO_End,Cnt,Fab300_Duration,IIO_Duration,Description,IIO_User_id,Fab300_User_id,Modules,Begin,End
12,PLINE200,AP300,32099/01821,0,2022-11-10 10:39:01,2022-11-10 11:00:00,2022-11-10 11:54:48,2022-11-10 12:30:00,1,1.2630555555555556,1.5,exp,mingar54,mingar54,,2022-11-10 10:39:01,2022-11-10 12:30:00
13,PLINE200,AP300,32299/00716,0,2022-11-04 11:12:06,2022-11-04 10:30:00,2022-11-04 13:54:39,2022-11-04 13:30:00,1,2.7091666666666665,3.0,exposure,guerrera,guerrera,,2022-11-04 10:30:00,2022-11-04 13:54:39
15,PLINE200,ASM200,31199/01513,0,2022-10-26 08:06:55,2022-10-26 07:30:00,2022-10-26 08:51:04,2022-10-26 10:00:00,1,0.7358333333333333,2.5,use,vicca54,vicca54,,2022-10-26 07:30:00,2022-10-26 10:00:00
16,PLINE200,ASM750,31199/01513,0,2022-11-04 14:03:19,2022-11-04 14:00:00,2022-11-04 16:18:11,2022-11-04 16:00:00,1,2.247777777777778,2.0,JSR Private,krishn87,krishn87,,2022-11-04 14:00:00,2022-11-04 16:18:11
17,PLINE200,BONDER_200,41603/41380,0,2022-10-20 08:31:55,2022-10-20 08:30:00,2022-10-20 11:48:32,2022-10-20 16:00:00,1,3.2769444444444447,7.5,Ge anodic bonding,vdepauw,vdepauw,,2022-10-20 08:30:00,2022-10-20 16:00:00
18,PLINE200,BONDER_200,44042/49500,0,2022-10-04 13:46:40,2022-10-04 14:00:00,2022-10-04 15:13:02,2022-10-04 16:00:00,1,1.4394444444444445,2.0,TOK bonding,thomas82,thomas82,,2022-10-04 13:46:40,2022-10-04 16:00:00
19,PLINE200,BONDER_200,44999/01882,0,2022-10-20 16:37:03,2022-10-20 16:00:00,2022-10-20 17:48:10,2022-10-20 18:00:00,1,1.1852777777777779,2.0,glass perimex glass bonding,arnett70,arnett70,,2022-10-20 16:00:00,2022-10-20 18:00:00
20,PLINE200,BONDER_200,97401/00942,0,2022-11-03 11:13:16,2022-11-03 11:00:00,2022-11-03 15:49:07,2022-11-03 17:00:00,1,4.5975,6.0,Bonding glass/TOK to glass/ PI,wysock13,wysock13,,2022-11-03 11:00:00,2022-11-03 17:00:00
21,PLINE200,BONDER_200,97401/00942,1,2022-11-07 15:24:48,2022-11-07 15:00:00,2022-11-07 17:20:08,2022-11-07 17:30:00,1,1.9222222222222223,2.5,Bonding glass/TOK to glass/PI,wysock13,wysock13,,2022-11-07 15:00:00,2022-11-07 17:30:00
22,PLINE200,BONDER_200,97401/14983,0,2022-11-02 13:43:46,2022-11-02 14:00:00,2022-11-02 15:51:03,2022-11-02 18:00:00,1,2.1213888888888888,4.0,Bonding of PAT on Glass on PI,segers56,segers56,,2022-11-02 13:43:46,2022-11-02 18:00:00
23,PLINE200,CAMTEK,00999/00505,0,2022-10-19 10:05:04,2022-10-19 10:00:00,2022-10-19 12:42:47,2022-10-19 11:30:00,1,2.6286111111111112,1.5,Recipe set up,janard53,stiersk,,2022-10-19 10:00:00,2022-10-19 12:42:47
24,PLINE200,CAMTEK,32102/01053,0,2022-10-20 12:43:05,2022-10-20 12:30:00,2022-10-20 14:30:17,2022-10-20 14:30:00,1,1.7866666666666666,2.0,devinp,janard53,janard53,,2022-10-20 12:30:00,2022-10-20 14:30:17
25,PLINE200,CAMTEK,32102/01053,1,2022-10-24 15:00:35,2022-10-24 14:00:00,2022-10-24 17:08:16,2022-10-24 17:00:00,1,2.1280555555555556,3.0,devinp,janard53,janard53,,2022-10-24 14:00:00,2022-10-24 17:08:16
26,PLINE200,CAMTEK,32299/01959,0,2022-10-19 16:17:39,2022-10-19 16:00:00,2022-10-19 17:32:20,2022-10-19 17:30:00,1,1.2447222222222223,1.5,recipe creation,moet12,moet12,,2022-10-19 16:00:00,2022-10-19 17:32:20
27,PLINE200,CAMTEK,36003/36503,0,2022-10-03 08:48:26,2022-10-03 08:30:00,2022-10-03 09:45:13,2022-10-03 10:00:00,2,0.945,3.0,devinp,stiersk,stiersk,,2022-10-03 08:30:00,2022-10-03 10:00:00
29,PLINE200,CAMTEK,36003/36504,0,2022-10-17 14:20:52,2022-10-17 14:00:00,2022-10-17 15:00:29,2022-10-17 15:30:00,1,0.6602777777777777,1.5,devinp,stiersk,stiersk,,2022-10-17 14:00:00,2022-10-17 15:30:00
31,PLINE200,CIPT,31499/01838,0,2022-10-31 09:19:20,2022-10-31 09:00:00,2022-10-31 12:26:51,2022-10-31 13:00:00,1,3.125277777777778,4.0,measuremetn trilayer,perezl56,perezl56,,2022-10-31 09:00:00,2022-10-31 13:00:00
32,PLINE200,CIPT,31499/01838,1,2022-11-04 09:43:27,2022-11-04 09:00:00,2022-11-04 12:19:48,2022-11-04 13:00:00,1,2.6058333333333334,4.0,trilayer measurement,perezl56,perezl56,,2022-11-04 09:00:00,2022-11-04 13:00:00
33,PLINE200,CIPT,31499/02047,0,2022-10-26 08:47:56,2022-10-26 09:00:00,2022-10-26 12:16:42,2022-10-26 12:00:00,1,3.4794444444444443,3.0,CIPT SOT MTJ,talmel16,talmel16,,2022-10-26 08:47:56,2022-10-26 12:16:42
34,PLINE200,CIPT,36003/36504,0,2022-10-20 08:22:39,2022-10-20 07:30:00,2022-10-21 16:32:53,2022-10-21 17:00:00,4,56.56361111111111,23.5,Practise SPC;meting,dara85;parmenti,dara85;parmenti,,2022-10-20 07:30:00,2022-10-21 17:00:00
35,PLINE200,CIPT,36003/36504,4,2022-10-26 19:37:01,2022-10-26 19:30:00,2022-10-26 21:21:04,2022-10-26 21:00:00,1,1.7341666666666666,1.5,MHE SPC practice,dara85,dara85,,2022-10-26 19:30:00,2022-10-26 21:21:04
36,PLINE200,CS4800,36056/36503,0,2022-10-18 11:18:47,2022-10-18 11:00:00,2022-10-18 13:13:56,2022-10-18 12:00:00,1,1.9191666666666667,1.0,test expo,eswara57,daniel18,,2022-10-18 11:00:00,2022-10-18 13:13:56
37,PLINE200,CS4800,37004/01376,0,2022-10-24 07:11:14,2022-10-24 07:00:00,2022-10-24 08:03:23,2022-10-24 09:00:00,1,0.8691666666666666,2.0,P223984,moelants,moelants,,2022-10-24 07:00:00,2022-10-24 09:00:00
38,PLINE200,CS4800,37037/02055,0,2022-10-20 18:41:28,2022-10-20 18:30:00,2022-10-20 20:11:02,2022-10-20 21:00:00,1,1.4927777777777778,2.5,P223264,moelants,moelants,,2022-10-20 18:30:00,2022-10-20 21:00:00
39,PLINE200,DCVD_CF,39424/01221,0,2022-10-12 15:46:55,2022-10-12 14:30:00,2022-10-12 21:53:14,2022-10-12 21:00:00,1,6.105277777777777,6.5,CHC troubleshooting,vdveld25,vdveld25,LP1;LP2;CHA;CHC,2022-10-12 14:30:00,2022-10-12 21:53:14
40,PLINE200,DCVD_CF,39424/01224,0,2022-11-05 09:39:38,2022-11-05 10:00:00,2022-11-05 11:59:39,2022-11-05 13:30:00,1,2.3336111111111113,3.5,Process lot P223884 with a new r,vdveld25,vdveld25,LP1;CHB,2022-11-05 09:39:38,2022-11-05 13:30:00
41,PLINE200,DCVD_CF,98300/01158,0,2022-10-20 17:43:52,2022-10-20 06:30:00,2022-10-20 20:57:02,2022-10-20 22:00:00,1,3.2194444444444446,15.5,testing,vdveld25,vgompel,LP1;CHC,2022-10-20 06:30:00,2022-10-20 22:00:00
42,PLINE200,DCVD_CF,98300/01969,0,2022-10-21 07:42:14,2022-10-21 08:00:00,2022-10-21 08:16:32,2022-10-21 10:00:00,1,0.5716666666666667,2.0,Add O2 to nitride dep,leyssens,leyssens,LP2;CHC,2022-10-21 07:42:14,2022-10-21 10:00:00
43,PLINE200,DEBOND_CLEANER,31012/00013,0,2022-10-06 09:18:22,2022-10-06 09:30:00,2022-10-06 11:12:45,2022-10-06 11:00:00,1,1.906388888888889,1.5,RER600 TS2,uruena10,uruena10,,2022-10-06 09:18:22,2022-10-06 11:12:45
44,PLINE200,DOM_BEOL_CU,31029/01811,0,2022-10-17 09:04:45,2022-10-17 09:00:00,2022-10-17 09:33:26,2022-10-17 10:30:00,1,0.47805555555555557,1.5,Graphene ets-delaminatie risico,locoroto,locoroto,LP2;PM1,2022-10-17 09:00:00,2022-10-17 10:30:00
45,PLINE200,DOM_BEOL_CU,44999/01997,0,2022-10-28 06:28:52,2022-10-28 06:30:00,2022-10-28 09:22:35,2022-10-28 12:00:00,1,2.895277777777778,5.5,Ru marker etch,locoroto,locoroto,LP1;LP2;PM1;PM3,2022-10-28 06:28:52,2022-10-28 12:00:00
46,PLINE200,DOM_BEOL_CU,98300/01535,0,2022-10-27 10:39:06,2022-10-27 10:30:00,2022-10-27 12:21:50,2022-10-27 12:00:00,1,1.7122222222222223,1.5,ES EP check RFPD restarted,jamieson,jamieson,LP1;PM2;PM1,2022-10-27 10:30:00,2022-10-27 12:21:50
47,PLINE200,DOM_BEOL_CU,98300/01535,1,2022-11-10 10:00:13,2022-11-10 10:00:00,2022-11-10 11:21:00,2022-11-10 11:30:00,1,1.3463888888888889,1.5,Etch on EP check,jamieson,jamieson,LP1;PM2,2022-11-10 10:00:00,2022-11-10 11:30:00
48,PLINE200,DOM_FEOL,98300/01969,0,2022-10-24 10:02:16,2022-10-24 09:30:00,2022-10-24 10:32:02,2022-10-24 11:00:00,1,0.4961111111111111,1.5,lot with dechuck issue,vecchio,vecchio,LP1;PM1,2022-10-24 09:30:00,2022-10-24 11:00:00
49,PLINE200,DOM_FEOL,98300/01969,1,2022-10-28 09:38:59,2022-10-28 09:30:00,2022-10-28 12:02:39,2022-10-28 11:30:00,1,2.3944444444444444,2.0,lot with dechuck issue,vecchio,vecchio,LP1;PM1,2022-10-28 09:30:00,2022-10-28 12:02:39
50,PLINE200,EDGE_TRIM,31012/01506,0,2022-10-03 10:06:14,2022-10-03 09:00:00,2022-10-03 16:35:05,2022-10-03 17:00:00,1,6.480833333333333,8.0,lots on hold,schoofs,schoofs,,2022-10-03 09:00:00,2022-10-03 17:00:00
51,PLINE200,EDGE_TRIM,31012/01506,1,2022-10-18 13:28:09,2022-10-18 13:30:00,2022-10-18 16:15:47,2022-10-18 17:00:00,1,2.793888888888889,3.5,lots on hold,schoofs,schoofs,,2022-10-18 13:28:09,2022-10-18 17:00:00
52,PLINE200,ENDURA1,39422/01224,0,2022-10-18 08:12:31,2022-10-18 07:30:00,2022-10-18 10:05:02,2022-10-18 09:30:00,1,1.8752777777777778,2.0,SI-DROP-A deadlock test,bermej14,bermej14,LP1;LP2;CH4;CHA;CHC;CHD,2022-10-18 07:30:00,2022-10-18 10:05:02
53,PLINE200,EPSILON2,32499/32513,0,2022-10-04 06:54:40,2022-10-04 07:00:00,2022-10-04 13:01:11,2022-10-04 13:30:00,1,6.108611111111111,6.5,Pocketprocessing for Valerie Dep,rondas,rondas,,2022-10-04 06:54:40,2022-10-04 13:30:00
54,PLINE200,EPSILON2,32499/32513,1,2022-10-11 10:33:13,2022-10-11 10:00:00,2022-10-11 11:03:29,2022-10-12 14:00:00,1,0.5044444444444445,28.0,sony processing = urgent,rondas,rondas,,2022-10-11 10:00:00,2022-10-12 14:00:00
55,PLINE200,EV11,31499/00432,0,2022-10-07 09:58:25,2022-10-07 09:30:00,2022-10-07 14:18:33,2022-10-07 16:30:00,1,4.335555555555556,7.0,IP meas,jansse23,wijsho15,,2022-10-07 09:30:00,2022-10-07 16:30:00
56,PLINE200,EV11,31499/00432,1,2022-10-11 13:51:12,2022-10-11 13:00:00,2022-10-11 15:58:07,2022-10-11 15:00:00,1,2.1152777777777776,2.0,measurement,carpen36,wijsho15,,2022-10-11 13:00:00,2022-10-11 15:58:07
57,PLINE200,EV11,31499/02041,0,2022-10-14 10:43:51,2022-10-14 10:30:00,2022-10-14 15:05:14,2022-10-14 15:30:00,1,4.356388888888889,5.0,VCMA AE213049,benchr63,benchr63,,2022-10-14 10:30:00,2022-10-14 15:30:00
58,PLINE200,EV11,31499/02180,0,2022-10-04 18:33:13,2022-10-04 17:30:00,2022-10-05 09:28:24,2022-10-05 09:00:00,1,14.919722222222223,15.5,Tb measurement,talmel16,talmel16,,2022-10-04 17:30:00,2022-10-05 09:28:24
59,PLINE200,EV11,37097/98048,0,2022-10-12 17:44:29,2022-10-12 08:00:00,2022-10-12 18:09:27,2022-10-12 18:30:00,1,0.4161111111111111,10.5,Ms of PMA-IP samples,nguyen73,vermeu32,,2022-10-12 08:00:00,2022-10-12 18:30:00
60,PLINE200,FSM_CU,39424/01224,0,2022-10-28 14:07:20,2022-10-28 14:00:00,2022-10-28 15:35:45,2022-10-28 16:00:00,2,1.4691666666666665,4.0,300 mm wafer measurement,vdveld25,vdveld25,,2022-10-28 14:00:00,2022-10-28 16:00:00
61,PLINE200,FUSIONBONDER,31012/01084,0,2022-10-16 11:20:18,2022-10-16 11:00:00,2022-10-16 17:50:44,2022-10-16 17:00:00,1,6.5072222222222225,6.0,activation for direct D2W,bexp,bexp,,2022-10-16 11:00:00,2022-10-16 17:50:44
62,PLINE200,FUSIONBONDER,36671/01224,0,2022-10-03 10:29:43,2022-10-03 10:00:00,2022-10-03 12:47:11,2022-10-03 12:30:00,1,2.2911111111111113,2.5,lot,han41,han41,,2022-10-03 10:00:00,2022-10-03 12:47:11
63,PLINE200,FUSIONBONDER,36671/01224,1,2022-11-05 09:56:09,2022-11-05 09:30:00,2022-11-05 11:21:58,2022-11-05 11:30:00,1,1.4302777777777778,2.0,lot,han41,han41,,2022-11-05 09:30:00,2022-11-05 11:30:00
64,PLINE200,GRINDER,36671/01224,0,2022-11-10 19:14:46,2022-11-10 19:00:00,2022-11-10 20:51:14,2022-11-10 22:00:00,1,1.6077777777777778,3.0,lot,han41,han41,,2022-11-10 19:00:00,2022-11-10 22:00:00
65,PLINE200,INNOLAS,36004/01221,0,2022-10-04 08:46:27,2022-10-04 08:30:00,2022-10-04 10:30:28,2022-10-04 10:30:00,1,1.7336111111111112,2.0,check SIPP_M12 labeling,feyena,feyena,,2022-10-04 08:30:00,2022-10-04 10:30:28
66,PLINE200,KLA2351,32299/31838,0,2022-11-04 18:08:19,2022-11-04 16:30:00,2022-11-04 23:01:45,2022-11-04 22:00:00,1,4.890555555555555,5.5,devinp,gompou79,gooris43,,2022-11-04 16:30:00,2022-11-04 23:01:45
67,PLINE200,KLA2351,32299/31838,1,2022-11-07 07:15:11,2022-11-07 06:30:00,2022-11-07 14:52:57,2022-11-07 14:00:00,1,7.629444444444444,7.5,devinp,gompou79,gompou79,,2022-11-07 06:30:00,2022-11-07 14:52:57
68,PLINE200,KLA2351,36003/36504,0,2022-10-05 08:48:46,2022-10-05 09:00:00,2022-10-05 10:42:20,2022-10-05 12:00:00,1,1.8927777777777777,3.0,devinp,stiersk,stiersk,,2022-10-05 08:48:46,2022-10-05 12:00:00
69,PLINE200,KLA2351,36003/36504,1,2022-10-06 13:09:37,2022-10-06 13:00:00,2022-10-06 14:35:15,2022-10-06 15:30:00,1,1.4272222222222222,2.5,devinp,stiersk,stiersk,,2022-10-06 13:00:00,2022-10-06 15:30:00
70,PLINE200,KLA2351,36003/36504,2,2022-10-10 08:48:36,2022-10-10 09:00:00,2022-10-10 09:19:32,2022-10-10 10:00:00,1,0.5155555555555555,1.0,devinp,stiersk,stiersk,,2022-10-10 08:48:36,2022-10-10 10:00:00
71,PLINE200,KLA2351,98300/14175,0,2022-11-09 14:12:19,2022-11-09 13:00:00,2022-11-09 19:10:57,2022-11-09 16:00:00,1,4.977222222222222,3.0,recipe check,moet12,gooris43,,2022-11-09 13:00:00,2022-11-09 19:10:57
72,PLINE200,LAMINATOR_2,98300/01535,0,2022-10-19 11:25:55,2022-10-19 10:30:00,2022-10-19 12:11:25,2022-10-19 12:00:00,1,0.7583333333333333,1.5,Taping / detaping test,lefevr14,lefevr14,,2022-10-19 10:30:00,2022-10-19 12:11:25
73,PLINE200,LASERDEBOND,37004/01945,0,2022-10-21 11:04:10,2022-10-21 10:30:00,2022-10-21 12:12:07,2022-10-21 12:00:00,1,1.1325,1.5,200mm TF 400MJ ELD,lefevr14,lefevr14,,2022-10-21 10:30:00,2022-10-21 12:12:07
74,PLINE200,LASERDEBOND,97401/14983,0,2022-10-04 08:57:16,2022-10-04 09:00:00,2022-10-04 09:31:13,2022-10-04 10:30:00,1,0.5658333333333333,1.5,PI debond from Glass - 200mm !,segers56,segers56,,2022-10-04 08:57:16,2022-10-04 10:30:00
75,PLINE200,LASERDEBOND,97401/14983,1,2022-11-03 09:00:48,2022-11-03 09:00:00,2022-11-03 09:57:25,2022-11-03 11:00:00,1,0.9436111111111111,2.0,Laser delam of PI from Glass,segers56,segers56,,2022-11-03 09:00:00,2022-11-03 11:00:00
76,PLINE200,LASERDEBOND,98500/01852,0,2022-10-07 09:04:58,2022-10-07 09:00:00,2022-10-07 11:50:26,2022-10-07 11:00:00,1,2.7577777777777777,2.0,"ELD only, 300mm tape frame",ghosh40,ghosh40,,2022-10-07 09:00:00,2022-10-07 11:50:26
77,PLINE200,LASERDEBOND,98500/01852,1,2022-11-04 10:03:02,2022-11-04 10:00:00,2022-11-04 11:11:20,2022-11-04 11:00:00,1,1.1383333333333334,1.0,200mm TF ELD only,ghosh40,ghosh40,,2022-11-04 10:00:00,2022-11-04 11:11:20
78,PLINE200,NOVA200,32005/01784,0,2022-10-20 07:33:50,2022-10-20 07:00:00,2022-10-20 08:11:38,2022-10-20 08:00:00,1,0.63,1.0,MEC,ripj,ripj,,2022-10-20 07:00:00,2022-10-20 08:11:38
79,PLINE200,NOVA200,32005/01784,1,2022-11-08 07:26:53,2022-11-08 07:00:00,2022-11-08 09:20:59,2022-11-08 09:30:00,1,1.9016666666666666,2.5,MEC,ripj,ripj,,2022-11-08 07:00:00,2022-11-08 09:30:00
80,PLINE200,NOVA200,32008/00034,0,2022-10-26 13:05:08,2022-10-26 13:00:00,2022-10-26 14:36:38,2022-10-26 15:00:00,1,1.525,2.0,sem,lux,lux,,2022-10-26 13:00:00,2022-10-26 15:00:00
81,PLINE200,NOVA200,32299/00013,0,2022-10-01 08:59:18,2022-10-01 08:30:00,2022-10-01 11:19:23,2022-10-01 12:30:00,1,2.334722222222222,4.0,bsd,cochet,cochet,,2022-10-01 08:30:00,2022-10-01 12:30:00
82,PLINE200,NOVA200,32299/00013,1,2022-10-13 14:05:04,2022-10-13 13:30:00,2022-10-13 15:33:59,2022-10-13 15:00:00,1,1.4819444444444445,1.5,sem,beirnaer,beirnaer,,2022-10-13 13:30:00,2022-10-13 15:33:59
83,PLINE200,NOVA200,32299/00013,2,2022-10-20 11:44:38,2022-10-20 11:30:00,2022-10-20 13:03:44,2022-10-20 13:00:00,1,1.3183333333333334,1.5,sem,beirnaer,beirnaer,,2022-10-20 11:30:00,2022-10-20 13:03:44
84,PLINE200,NOVA200,38199/01838,0,2022-10-24 09:44:24,2022-10-24 09:30:00,2022-10-24 10:27:03,2022-10-24 11:00:00,1,0.7108333333333333,1.5,sem,tsvetani,tsvetani,,2022-10-24 09:30:00,2022-10-24 11:00:00
85,PLINE200,NOVA200,39320/36502,0,2022-10-07 08:11:13,2022-10-07 08:00:00,2022-10-07 09:45:35,2022-10-07 09:30:00,1,1.5727777777777778,1.5,qualification,mander15,brahim58,,2022-10-07 08:00:00,2022-10-07 09:45:35
86,PLINE200,NOVA200,41603/41380,0,2022-10-27 11:30:30,2022-10-27 11:30:00,2022-10-27 12:25:46,2022-10-27 12:30:00,1,0.9211111111111111,1.0,xsem,vdepauw,vdepauw,,2022-10-27 11:30:00,2022-10-27 12:30:00
87,PLINE200,NOVA200,41603/41380,1,2022-11-07 09:03:39,2022-11-07 09:00:00,2022-11-07 09:37:20,2022-11-07 10:00:00,1,0.5613888888888889,1.0,xsem,vdepauw,vdepauw,,2022-11-07 09:00:00,2022-11-07 10:00:00
88,PLINE200,NOVA200,41603/49500,0,2022-11-04 14:08:25,2022-11-04 14:00:00,2022-11-04 15:33:59,2022-11-04 15:30:00,1,1.426111111111111,1.5,xsem training,vdepauw,villal56,,2022-11-04 14:00:00,2022-11-04 15:33:59
89,PLINE200,NOVA200,97406/01185,0,2022-10-04 15:32:45,2022-10-04 15:30:00,2022-10-04 16:45:45,2022-10-04 17:00:00,1,1.2166666666666666,1.5,dev,hendri21,hendri21,,2022-10-04 15:30:00,2022-10-04 17:00:00
90,PLINE200,NOVA200,97406/01185,1,2022-10-06 19:14:32,2022-10-06 18:30:00,2022-10-06 20:35:36,2022-10-06 20:00:00,1,1.3511111111111112,1.5,Cu Nanomesh,planke49,planke49,,2022-10-06 18:30:00,2022-10-06 20:35:36
91,PLINE200,NOVA200,97406/01185,2,2022-10-14 12:51:49,2022-10-14 12:30:00,2022-10-14 14:10:37,2022-10-14 14:00:00,1,1.3133333333333332,1.5,dev,hendri21,hendri21,,2022-10-14 12:30:00,2022-10-14 14:10:37
92,PLINE200,NOVA200,97406/01185,3,2022-10-25 15:19:41,2022-10-25 15:30:00,2022-10-25 16:46:04,2022-10-25 17:00:00,1,1.4397222222222221,1.5,dev,hendri21,hendri21,,2022-10-25 15:19:41,2022-10-25 17:00:00
93,PLINE200,NOVA200,97406/01185,4,2022-11-03 11:12:45,2022-11-03 11:00:00,2022-11-03 13:06:33,2022-11-03 12:30:00,1,1.8966666666666667,1.5,dev,hendri21,hendri21,,2022-11-03 11:00:00,2022-11-03 13:06:33
94,PLINE200,NOVA200,97406/01185,5,2022-11-04 12:34:18,2022-11-04 12:30:00,2022-11-04 13:37:35,2022-11-04 14:00:00,1,1.0547222222222221,1.5,training,hendri21,hendri21,,2022-11-04 12:30:00,2022-11-04 14:00:00
95,PLINE200,NOVA200,97406/01934,0,2022-10-18 15:27:54,2022-10-18 15:30:00,2022-10-18 16:25:43,2022-10-18 16:30:00,1,0.9636111111111111,1.0,Process development,rupp93,rupp93,,2022-10-18 15:27:54,2022-10-18 16:30:00
96,PLINE200,P7_HITEMP,30990/32063,0,2022-11-07 09:30:09,2022-11-07 09:30:00,2022-11-07 09:30:28,2022-11-13 00:00:00,1,0.005277777777777778,134.5,New design boat test on P7,knaepen,carval53,HITEMP;WIP,2022-11-07 09:30:00,2022-11-13 00:00:00
97,PLINE200,POLYGON,31499/00880,0,2022-10-04 09:10:07,2022-10-04 09:30:00,2022-10-04 17:36:13,2022-10-04 19:00:00,1,8.435,9.5,WS2 MOCVD,medina33,medina33,LP2;NITRIDE,2022-10-04 09:10:07,2022-10-04 19:00:00
98,PLINE200,POLYGON,31499/00880,1,2022-10-17 16:37:23,2022-10-17 17:00:00,2022-10-18 09:22:07,2022-10-18 10:00:00,1,16.745555555555555,17.0,WS2 MOCVD,kandyb69,medina33,LP2;NITRIDE,2022-10-17 16:37:23,2022-10-18 10:00:00
99,PLINE200,PROFILER,36003/36504,0,2022-10-24 14:11:40,2022-10-24 14:00:00,2022-10-24 16:09:40,2022-10-24 17:00:00,1,1.9666666666666666,3.0,devinp,stiersk,stiersk,,2022-10-24 14:00:00,2022-10-24 17:00:00
100,PLINE200,PROFILER,37004/37141,0,2022-10-25 21:13:25,2022-10-25 21:00:00,2022-10-25 22:10:12,2022-10-25 22:00:00,1,0.9463888888888888,1.0,Prio P222233/3,redants,redants,,2022-10-25 21:00:00,2022-10-25 22:10:12
101,PLINE200,PROFILER,98300/01618,0,2022-11-04 10:33:04,2022-11-04 10:30:00,2022-11-04 11:14:46,2022-11-04 12:00:00,1,0.695,1.5,i,redants,redants,,2022-11-04 10:30:00,2022-11-04 12:00:00
102,PLINE200,SAM_AW300,32299/02107,0,2022-10-31 09:38:21,2022-10-31 10:00:00,2022-10-31 11:18:46,2022-10-31 11:30:00,1,1.6736111111111112,1.5,AL208143/1,chen70,chen70,,2022-10-31 09:38:21,2022-10-31 11:30:00
103,PLINE200,SAM_AW300,38199/01132,0,2022-10-26 13:23:15,2022-10-26 13:30:00,2022-10-26 16:30:37,2022-10-26 16:00:00,1,3.122777777777778,2.5,AL210794/3,chen70,chen70,,2022-10-26 13:23:15,2022-10-26 16:30:37
104,PLINE200,SAM_AW300,38199/01132,1,2022-11-07 15:30:35,2022-11-07 15:30:00,2022-11-07 16:44:11,2022-11-07 17:30:00,1,1.2266666666666666,2.0,AL210794/3,chen70,chen70,,2022-11-07 15:30:00,2022-11-07 17:30:00
