,FACILITY,Tool,WBS,Cluster,Description,Begin,End,IIO_User_id,Fab300_User_id,Modules,Fab300_Duration,IIO_Duration,TR_Cluster,id
13,PLINE200,BLUE_M_BCB,32299/00013,0.0,cure wpr,2023-01-11 09:00:00,2023-01-11 14:22:00,jslabbe,jslabbe,,5.35,5.0,,13
14,PLINE200,BONDER_200,36671/01224,0.0,lot,2023-01-18 19:30:00,2023-01-18 21:39:00,han41,han41,,1.7666666666666666,2.0,,14
15,PLINE200,BONDER_200,44042/49500,0.0,TOK bonding,2023-01-25 13:52:00,2023-01-25 17:30:00,thomas82,thomas82,,2.9,3.5,,15
16,PLINE200,BONDER_200,97401/02110,0.0,Direct bonding in Lvl5 6' chuck,2023-01-11 12:42:00,2023-01-11 17:30:00,segers56,segers56,,3.0833333333333335,4.0,,16
17,PLINE200,CAMTEK,36003/36504,0.0,Test waferlevelimage,2023-01-20 11:00:00,2023-01-20 14:30:00,reniersd,reniersd,,2.566666666666667,3.5,,17
18,PLINE200,CAMTEK,98000/14072,0.0,Recipe creation,2023-01-13 13:30:00,2023-01-13 17:41:00,moet12,vandrom,,3.45,2.5,,18
19,PLINE200,CIPT,31499/02180,0.0,CIPT LED Zeppelin,2023-01-13 09:33:00,2023-01-13 12:57:00,talmel16,talmel16,,3.4,2.0,,19
20,PLINE200,CS4800,37037/02055,0.0,P222038/11,2023-01-16 07:00:00,2023-01-16 08:30:00,moelants,moelants,,1.1666666666666667,1.5,,20
21,PLINE200,CS4800,97401/01775,0.0,P230044,2023-01-13 19:00:00,2023-01-13 21:27:00,moelants,moelants,,1.6,2.0,,21
22,PLINE200,DEBOND_CLEANER,98300/01618,0.0,EBR clean BB510,2023-01-04 16:00:00,2023-01-04 21:30:00,lefevr14,lefevr14,,3.7,3.5,,22
23,PLINE200,DOM_BEOL_CU,44999/01997,0.0,Ru etch,2023-01-12 09:00:00,2023-01-12 19:00:00,locoroto,locoroto,LP1;PM1,2.25,10.0,,23
24,PLINE200,DOM_BEOL_CU,44999/01997,1.0,Ru contam test,2023-01-19 09:00:00,2023-01-19 19:00:00,locoroto,locoroto,LP2;PM1,2.9,10.0,,24
25,PLINE200,ELECTRA_CU,39422/01224,0.0,PR22.0284,2023-01-13 06:58:00,2023-01-13 11:30:00,bangel19,bangel19,CH3;CH4;LP1;LP2,3.5166666666666666,4.5,,25
26,PLINE200,ELECTRA_CU,39422/01224,1.0,PR22.0284,2023-01-14 07:00:00,2023-01-14 10:00:00,bangel19,bangel19,LP1;LP2,2.65,1.5,,26
27,PLINE200,ELECTRA_CU,39422/01224,2.0,PR22.0284 handling tests,2023-01-23 07:00:00,2023-01-23 11:00:00,bangel19,bangel19,LP1;LP2,3.9,4.0,,27
28,PLINE200,ENDURA1,39422/01221,0.0,CHD SPC stability investigation,2023-01-21 07:58:00,2023-01-21 09:00:00,meulem85,meulem85,CHC;CHD;LP1,0.4166666666666667,1.0,,28
29,PLINE200,ENDURA1,97401/02108,0.0,100nm deposition of AlCu 9kw,2023-01-24 13:30:00,2023-01-24 16:00:00,vlanck26,vlanck26,CH4;LP1,1.75,2.5,,29
30,PLINE200,ENDURA1,97401/02108,1.0,100nm deposition AlCu deposition,2023-01-25 09:00:00,2023-01-25 11:30:00,vlanck26,vlanck26,CH4;LP1,0.75,2.5,,30
31,PLINE200,EV11,31499/00432,0.0,IP measurements,2023-01-09 09:00:00,2023-01-09 15:33:00,jansse23,jansse23,,5.3,6.5,,31
32,PLINE200,EV11,31499/02180,0.0,Tb measurements for LDZ,2023-01-03 15:54:00,2023-01-04 09:28:00,chen66,talmel16,,17.566666666666666,17.0,,32
33,PLINE200,EV11,31499/02180,1.0,Tb PtMn,2023-01-09 16:47:00,2023-01-10 09:14:00,chen66,talmel16,,16.45,16.0,,33
34,PLINE200,EV11,31499/02180,2.0,Tb PtMn,2023-01-10 17:00:00,2023-01-11 09:14:00,chen66,talmel16,,15.716666666666667,16.0,,34
35,PLINE200,EXPERT1,98601/01944,0.0,ilime 20221205-143043-zaid49,2023-01-18 14:00:00,2023-01-18 21:22:00,tielens,tielens,,5.183333333333334,5.0,,35
36,PLINE200,FUSIONBONDER,36671/01224,0.0,training,2023-01-10 09:20:00,2023-01-10 13:33:00,han41,han41,,4.216666666666667,2.5,,36
37,PLINE200,GRINDER,32099/01084,0.0,3_C730_DualT1107_CG,2023-01-13 07:00:00,2023-01-13 10:28:00,cuypers,cuypers,,3.45,2.5,,37
38,PLINE200,GRINDER,36671/01224,0.0,lot,2023-01-13 14:17:00,2023-01-13 17:08:00,han41,han41,,2.85,2.0,,38
39,PLINE200,HRP220_CU,44999/01817,0.0,i,2023-01-08 07:51:00,2023-01-08 09:12:00,redants,redants,,1.35,1.0,,39
40,PLINE200,ISIS,32099/01084,0.0,3_C730_T1107_30_PRE and POST,2023-01-13 07:00:00,2023-01-13 11:06:00,cuypers,cuypers,,4.083333333333333,2.5,,40
41,PLINE200,ISIS,36003/01224,0.0,training,2023-01-22 14:30:00,2023-01-22 18:00:00,nong52,nong52,,1.7166666666666666,3.5,,41
42,PLINE200,KLA2351,32299/31838,0.0,DEVINPs,2023-01-19 16:00:00,2023-01-19 19:30:00,janard53,janard53,,2.6166666666666667,3.5,,42
43,PLINE200,KLA2351,37004/01945,0.0,DEVINPs,2023-01-09 11:30:00,2023-01-09 13:30:00,janard53,janard53,,1.3,2.0,,43
44,PLINE200,KLA2351,37004/01945,1.0,devinp,2023-01-13 07:30:00,2023-01-13 10:00:00,janard53,janard53,,1.2,2.5,,44
45,PLINE200,KLA2351,37004/01945,2.0,Recipe creation,2023-01-24 10:00:00,2023-01-24 18:10:00,moet12,cooman32,,4.15,6.0,,45
46,PLINE200,LAMINATOR_2,98300/14175,0.0,New DFR material - RFPD,2023-01-18 16:00:00,2023-01-18 21:18:00,lefevr14,lefevr14,,4.866666666666666,5.0,,46
47,PLINE200,MIRRA_3,36026/01224,0.0,BROMO Project: TSV Plating CMP,2023-01-16 08:54:00,2023-01-16 10:53:00,kyaw73,kyaw73,LP1;LP2;PLATEN1;PLATEN2;PLATEN3,1.9833333333333334,1.5,,47
48,PLINE200,MOUNTER_LH,36671/01224,0.0,W2W BONDING CIRCL BACK UP,2023-01-13 09:00:00,2023-01-13 11:55:00,ameghn57,ameghn57,,2.683333333333333,2.0,,48
49,PLINE200,NOVA200,30990/02250,0.0,x-section sem,2023-01-06 09:00:00,2023-01-06 12:43:00,stokhof,stokhof,,2.433333333333333,2.0,,49
50,PLINE200,NOVA200,32005/01299,0.0,Training Qi Wu,2023-01-23 12:30:00,2023-01-23 14:00:00,ripj,ripj,,1.1833333333333333,1.5,,50
51,PLINE200,NOVA200,32008/00034,0.0,sem,2023-01-19 08:00:00,2023-01-19 10:30:00,lux,lux,,2.3,2.0,,51
52,PLINE200,NOVA200,32299/00013,0.0,sem,2023-01-18 13:26:00,2023-01-18 15:31:00,cochet,cochet,,2.0833333333333335,2.0,,52
53,PLINE200,NOVA200,43001/01668,0.0,EDX,2023-01-11 08:30:00,2023-01-11 11:00:00,verbeeck,verbeeck,,1.6333333333333333,2.5,,53
54,PLINE200,NOVA200,97406/01185,0.0,Ag Nanomesh;dev,2023-01-10 15:30:00,2023-01-10 19:05:00,hendri21;planke49,planke49,,1.95,3.0,,54
55,PLINE200,NOVA200,97406/01185,1.0,training,2023-01-17 15:30:00,2023-01-17 17:04:00,hendri21,hendri21,,0.3833333333333333,1.5,,55
56,PLINE200,NOVA200,97406/01185,4.0,dev,2023-01-18 09:27:00,2023-01-18 11:11:00,hendri21,hendri21,,1.7333333333333334,1.5,,56
57,PLINE200,NOVA200,97406/01185,5.0,Ag Nanomesh,2023-01-23 17:00:00,2023-01-23 18:30:00,planke49,planke49,,0.9666666666666667,1.5,,57
58,PLINE200,P3_NITRIDE,97401/02108,0.0,100nm deposition on SI blanket,2023-01-24 08:52:00,2023-01-24 12:30:00,vlanck26,vlanck26,NITR;WIP,3.3666666666666667,3.5,,58
59,PLINE200,SAM_AW300,31012/01506,0.0,AL214704/2,2023-01-17 13:30:00,2023-01-17 17:34:00,chen70,chen70,,3.1666666666666665,2.5,,59
60,PLINE200,SAM_AW300,36671/01224,0.0,AE224542,2023-01-16 09:22:00,2023-01-16 10:30:00,chen70,chen70,,1.0,1.0,,60
61,PLINE200,SP1_DLS,30990/02249,0.0,measurement,2023-01-16 09:30:00,2023-01-16 10:00:00,tricas85,stokhof,,0.35,0.5,,61
62,PLINE200,SP1_DLS,30990/02249,1.0,measurement,2023-01-25 13:22:00,2023-01-25 14:00:00,tricas85,tricas85,,0.5,0.5,,62
63,PLINE200,SPTS_OMEGA,36004/01224,0.0,test strip rate with cool down,2023-01-04 07:20:00,2023-01-04 08:30:00,nedelj21,nedelj21,PM2;PM3,0.6166666666666667,1.0,,63
64,PLINE200,SPTS_OMEGA,36004/01224,1.0,To process Illuminator wafers,2023-01-25 09:30:00,2023-01-25 11:30:00,palomb58,palomb58,PM3,0.2833333333333333,2.0,,64
65,PLINE200,TELACT8_750,31199/02272,0.0,Spin Coat Work,2023-01-24 16:00:00,2023-01-24 18:10:00,arvind29,cooman32,,1.6833333333333333,1.0,,65
66,PLINE200,TEMP_BONDER,31012/01084,0.0,T1107 coating,2023-01-11 08:30:00,2023-01-11 11:00:00,jedidi64,jedidi64,,0.26666666666666666,2.5,,66
67,PLINE200,TEMP_BONDER,36671/01224,0.0,200SPC LF2;lot,2023-01-10 09:01:00,2023-01-10 16:05:00,ameghn57;han41,ameghn57;han41,,6.1,4.0,,67
68,PLINE200,TEMP_BONDER,98500/01852,0.0,MX2,2023-01-11 11:00:00,2023-01-11 15:00:00,ghosh40,ghosh40,,3.5833333333333335,4.0,,68
69,PLINE200,TEMP_BONDER,98500/01852,1.0,MX2,2023-01-12 06:00:00,2023-01-12 21:30:00,ghosh40,deloore,,3.1333333333333333,15.5,,69
70,PLINE200,TEMP_BONDER,98500/01852,2.0,MX2,2023-01-13 10:30:00,2023-01-14 00:33:00,ghosh40,ghosh40,,13.483333333333333,12.0,,70
71,PLINE200,TEMP_BONDER,98500/01852,3.0,BB703;BB703 and 305 coating on glass,2023-01-18 08:26:00,2023-01-18 16:42:00,ghosh40,ghosh40,,8.266666666666667,7.0,,71
72,PLINE200,UVO,37004/01459,0.0,Standard 120 min UVO clean,2023-01-11 14:30:00,2023-01-11 18:27:00,lefevr14,grosem77,,3.0166666666666666,2.5,,72
73,PLINE200,XL30_CF,32099/01506,0.0,EBSD-meting Myriam Van De Peer,2023-01-16 08:00:00,2023-01-16 13:00:00,jmesse,vdpeer,,3.8833333333333333,5.0,,73
74,PLINE300,2830ZT,30990/32063,0.0,spc,2023-01-16 14:30:00,2023-01-16 16:30:00,lukose22,kramac15,,0.7166666666666667,2.0,,74
75,PLINE300,2830ZT,31499/00379,0.0,XRF,2023-01-13 13:00:00,2023-01-13 18:00:00,peissk91,peissk91,,4.283333333333333,5.0,,75
76,PLINE300,AIXTRON,32414/01368,0.0,III-V,2023-01-13 09:57:00,2023-01-13 20:00:00,alcott43,alcott43,LP2;PM3,9.783333333333333,10.0,,76
77,PLINE300,AIXTRON,32414/01368,1.0,III-V,2023-01-23 15:24:00,2023-01-23 23:00:00,alcott43,alcott43,LP1;PM3,7.583333333333333,7.0,,77
78,PLINE300,AIXTRON,32414/01368,2.0,III-V,2023-01-24 14:00:00,2023-01-25 07:25:00,alcott43,alcott43,LP1;PM3,17.2,6.0,,78
79,PLINE300,AIXTRON,32414/01368,3.0,III-V,2023-01-25 13:48:00,2023-01-25 22:00:00,alcott43,alcott43,LP1;PM3,8.15,8.0,,79
80,PLINE300,AIXTRON,32414/32513,0.0,III-V,2023-01-16 10:00:00,2023-01-16 18:00:00,alcott43,alcott43,LP1;PM3,6.533333333333333,8.0,,80
81,PLINE300,AIXTRON,32414/32513,1.0,III-V,2023-01-17 09:47:00,2023-01-17 18:22:00,alcott43,alcott43,LP1;PM3,8.583333333333334,5.0,,81
82,PLINE300,ALERIS,31199/01513,0.0,JSR,2023-01-12 16:51:00,2023-01-12 18:03:00,thomas96,thomas96,,1.2,1.0,,82
83,PLINE300,ANELVA_3,38199/01284,0.0,IGZO IBE etch,2023-01-20 09:00:00,2023-01-20 11:00:00,li17,li17,CHA;LP2,1.2666666666666666,2.0,,83
84,PLINE300,ANELVA_3,38199/14775,0.0,Waimea project development,2023-01-10 16:30:00,2023-01-10 19:06:00,li17,li17,CHA;CHB;CHC;LP3,2.3,1.5,,84
85,PLINE300,ARCHER200,98850/02279,0.0,OVL,2023-01-05 10:00:00,2023-01-05 11:00:00,mingar54,mingar54,,0.35,1.0,,85
86,PLINE300,ARCHER700,31199/01988,0.0,tst,2023-01-20 13:00:00,2023-01-20 17:00:00,truffert,truffert,,2.7,4.0,,86
87,PLINE300,ARCHER700,38199/02270,0.0,job,2023-01-25 10:00:00,2023-01-25 12:00:00,mingar54,mingar54,,0.6666666666666666,2.0,,87
88,PLINE300,CELLESTA,32005/01084,0.0,AE216026,2023-01-25 10:30:00,2023-01-25 15:00:00,annama94,annama94,LP3;LP4;SM2_1;SM2_3,4.083333333333333,4.5,,88
89,PLINE300,CIRCL,31012/01084,0.0,DEVINPs,2023-01-06 19:00:00,2023-01-06 21:30:00,janard53,janard53,LP1;LP2;LP3;PM1;PM2;PM3;PM4,1.2666666666666666,2.5,,89
90,PLINE300,CIRCL,32102/01048,0.0,devinp,2023-01-11 10:30:00,2023-01-11 12:30:00,janard53,janard53,LP1;LP2;LP3;PM1;PM2;PM3;PM4,0.7166666666666667,2.0,,90
91,PLINE300,CIRCL,32299/00013,0.0,test,2023-01-12 08:00:00,2023-01-12 09:00:00,cochet,cochet,LP1;LP2;LP3;PM1;PM2;PM3;PM4,0.43333333333333335,1.0,,91
92,PLINE300,CIRCL,32299/01084,0.0,DEVINPs,2023-01-09 07:30:00,2023-01-09 11:57:00,janard53,janard53,LP1;LP2;LP3;PM1;PM2;PM3,4.35,3.0,,92
93,PLINE300,CIRCL,32299/31838,0.0,DEVINPs,2023-01-16 16:00:00,2023-01-16 21:19:00,janard53,janard53,LP1;LP2;LP3;PM1;PM2;PM3;PM4,5.083333333333333,2.0,,93
94,PLINE300,CIRCL,38199/01715,0.0,DEVINPs,2023-01-04 16:30:00,2023-01-04 19:04:00,janard53,janard53,LP1;LP2;LP3;PM1;PM2;PM3,2.2333333333333334,2.0,,94
95,PLINE300,CIRCL,38199/02180,0.0,AL232055,2023-01-23 14:00:00,2023-01-23 16:21:00,lieben52,lieben52,LP1;LP2;LP3;PM1;PM2;PM3,2.25,2.0,,95
96,PLINE300,DNS_4,30990/02249,0.0,Long etch time,2023-01-06 14:15:00,2023-01-06 16:00:00,mehdi55,mehdi55,LP2;SM2,1.3666666666666667,1.5,,96
97,PLINE300,DNS_4,30990/32063,0.0,0.5% HF etch test,2023-01-19 10:00:00,2023-01-19 11:00:00,rahmat49,rahmat49,LP2;SM2,0.75,1.0,,97
98,PLINE300,DNS_4,31199/00650,0.0,DSA,2023-01-04 18:00:00,2023-01-04 19:35:00,verstr99,verstr99,LP1;SM1,1.2,1.0,,98
99,PLINE300,DNS_4,31199/00650,1.0,DSA,2023-01-10 15:00:00,2023-01-10 16:50:00,vanbel53,vanbel53,LP1;SM1,1.7833333333333334,1.0,,99
100,PLINE300,DNS_4,31199/00650,2.0,DSA,2023-01-19 17:00:00,2023-01-19 18:00:00,vanbel53,vanbel53,LP1;SM1,0.3333333333333333,1.0,,100
101,PLINE300,DNS_4,32399/30027,0.0,TMAH at RT,2023-01-05 09:30:00,2023-01-05 15:00:00,sebai,sebai,LP1;SM2,3.9,5.5,,101
102,PLINE300,DNS_5,31399/31519,0.0,HF processing and training,2023-01-25 16:00:00,2023-01-25 17:00:00,decost63,decost63,CPC11;LP3;LP4;MPC5,0.8,1.0,,102
103,PLINE300,DNS_5,38199/01936,0.0,MS6365 clean at 70C in CTL mode,2023-01-18 16:00:00,2023-01-18 18:00:00,uluoku73,decost63,LP1;MPC8,0.5,2.0,,103
104,PLINE300,DNS_6,30990/01658,0.0,ASM internal development,2023-01-17 13:00:00,2023-01-17 14:00:00,kim11,kim11,LP1;MPC2,0.9833333333333333,1.0,,104
105,PLINE300,DNS_6,30990/02250,0.0,wet-etch test,2023-01-20 11:00:00,2023-01-20 11:30:00,patel41,patel41,LP1;MPC5,0.2,0.5,,105
106,PLINE300,DNS_6,31199/31811,0.0,hf-o3-apm clean of bare si,2023-01-05 07:00:00,2023-01-05 09:36:00,drent34,drent34,LP3;LP4;MPC8,2.5,2.0,,106
107,PLINE300,DNS_6,31199/31811,1.0,hf-o3-apm clean of bare si,2023-01-06 07:00:00,2023-01-06 10:00:00,drent34,drent34,LP2;MPC8,2.3833333333333333,3.0,,107
108,PLINE300,DVPRIME_1,31199/01617,0.0,Lam Process,2023-01-17 16:54:00,2023-01-17 17:30:00,huang72,huang72,LP1;LP2;PM_L1;PM_L2,0.5166666666666667,0.5,,108
109,PLINE300,DVPRIME_1,32299/00588,0.0,Wafer thinning development,2023-01-11 13:00:00,2023-01-11 17:00:00,lai86,lai86,LP3;PM_R1,2.283333333333333,4.0,,109
110,PLINE300,DVPRIME_1,37092/02174,0.0,APM 65C marathon test,2023-01-20 08:59:00,2023-01-20 17:00:00,lai86,lai86,LP1;LP2;PM_L1;PM_L2,7.65,8.0,,110
111,PLINE300,DVPRIME_1,37092/02174,1.0,APM 65C marathon test,2023-01-23 09:00:00,2023-01-23 17:00:00,lai86,lai86,LP1;LP3;PM_L1;PM_L2;PM_R1,7.666666666666667,8.0,,111
112,PLINE300,EAGLE12,39423/01224,0.0,DOE test on RC1,2023-01-25 09:51:00,2023-01-25 11:30:00,kimura50,kimura50,LP1;LP2;PM1,0.95,1.5,,112
113,PLINE300,EBEAM300,31199/00653,0.0,/;BID13 - 4 samples;meting,2023-01-11 07:00:00,2023-01-12 06:50:00,vandeney;veenae54,veenae54,,21.533333333333335,22.0,,113
114,PLINE300,EDR7100,31199/00650,0.0,DSA,2023-01-04 09:15:00,2023-01-04 12:00:00,verstr99,verstr99,PM,2.25,2.0,,114
115,PLINE300,EDR7100,31199/02273,0.0,Inspection,2023-01-18 13:00:00,2023-01-18 19:19:00,johnsu91,schrauw,PM,4.833333333333333,2.0,,115
116,PLINE300,EDR7100,31199/30079,0.0,test,2023-01-06 10:00:00,2023-01-06 12:12:00,dilien72,schrauw,PM,2.05,2.0,,116
117,PLINE300,ENDURA_5,31499/01284,0.0,"IGZO, low In",2023-01-05 13:30:00,2023-01-05 18:00:00,agiann70,agiann70,CH4_MC;CHE;LP1,0.6166666666666667,4.5,,117
118,PLINE300,ENDURA_5,31499/01284,1.0,IGZO spinel development,2023-01-10 11:00:00,2023-01-10 22:12:00,dekkers,dekkers,CH4_MC;CHE;LP1,7.016666666666667,11.0,,118
119,PLINE300,ENDURA_5,31499/01284,2.0,"IGZO, high In concentration",2023-01-13 12:39:00,2023-01-13 17:00:00,agiann70,agiann70,CH4_MC;CHE;LP1,1.7166666666666666,4.0,,119
120,PLINE300,ENDURA_5,31499/01284,3.0,"Spinel IGZO, max In",2023-01-20 13:30:00,2023-01-20 17:30:00,agiann70,agiann70,CH4_MC;CHE;LP1,3.8,3.5,,120
121,PLINE300,ENDURA_5,31499/02228,0.0,Development of NiAl at 420oC,2023-01-17 08:58:00,2023-01-17 14:43:00,soulie26,soulie26,CH1_MC;CHE;LP1,5.75,4.5,,121
122,PLINE300,ENDURA_5,31499/02251,0.0,AE212330/1,2023-01-09 09:00:00,2023-01-09 18:00:00,devul,devul,CH2_MC;CH3;CHE;LP1;LP2,7.566666666666666,9.0,,122
123,PLINE300,ENDURA_5,31499/02251,1.0,AE212330/1,2023-01-11 09:00:00,2023-01-12 09:24:00,devul,devul,CH2_MC;CH3;CHE;LP1;LP2,24.116666666666667,14.0,,123
124,PLINE300,ENDURA_5,31499/02251,2.0,development,2023-01-18 15:00:00,2023-01-19 08:28:00,devul,devul,CH2_MC;CH3;CHE;CHF;LP1;LP2,15.766666666666667,15.0,,124
125,PLINE300,ENDURA_5,31499/02251,3.0,AE300216 and AT301352,2023-01-23 09:30:00,2023-01-24 09:15:00,devul,devul,CH2_MC;CH3;CHE;CHF;LP1;LP2,23.533333333333335,23.5,,125
126,PLINE300,ENDURA_5,31499/02251,4.0,AE300216 and AT301352,2023-01-24 14:30:00,2023-01-25 10:00:00,devul,devul,CH2_MC;CH3;CHE;CHF;LP1;LP2,16.9,19.5,,126
127,PLINE300,ENDURA_5,38199/01284,0.0,low O2 flows,2023-01-12 10:00:00,2023-01-12 22:47:00,dekkers,dekkers,CH4_MC;CHE;LP1,12.783333333333333,7.5,,127
128,PLINE300,ENDURA_5,43900/02205,0.0,Florida JJ,2023-01-06 10:00:00,2023-01-06 22:12:00,piao23,piao23,CH1_MC;CH2_MC;CHE;LP1,7.716666666666667,8.0,,128
129,PLINE300,ENDURA_5,43900/02205,1.0,Development NbTiN at 420OC,2023-01-13 09:00:00,2023-01-13 12:00:00,soulie26,soulie26,CH1_MC;CHE;CHF;LP1,2.8,3.0,,129
130,PLINE300,EPSILON3200,31499/00880,0.0,WS2 MOCVD R&D,2023-01-11 10:30:00,2023-01-12 16:18:00,groven85,groven85,,29.65,20.5,,130
131,PLINE300,EXCEL_1,37013/01883,0.0,SiO2 low temperature deposition,2023-01-25 10:23:00,2023-01-25 16:06:00,martel37,martel37,LP1;PM3,5.716666666666667,4.5,,131
132,PLINE300,EXCEL_2,37093/02178,0.0,SICN dep for bonding tests,2023-01-10 10:00:00,2023-01-10 14:00:00,channa40,channa40,LP1;PM2,1.7333333333333334,4.0,,132
133,PLINE300,EXTREME_2,31199/01876,0.0,AE209757,2023-01-18 08:48:00,2023-01-18 13:00:00,goovae19,goovae19,LP1;LP2;LP3;PM1,3.05,4.0,,133
134,PLINE300,EXTREME_2,31199/01918,0.0,p,2023-01-16 05:58:00,2023-01-16 10:00:00,goovae19,goovae19,LP1;LP2;LP3;PM1,3.8,4.0,,134
135,PLINE300,EXTREME_2,31499/01951,0.0,Dev 60nm recipe,2023-01-16 10:00:00,2023-01-16 13:00:00,pasqua16,pasqua16,LP1;PM1,2.066666666666667,3.0,,135
136,PLINE300,EXTREME_2,31499/01951,1.0,DEVELOPMENT 350nm,2023-01-18 13:12:00,2023-01-18 18:00:00,pasqua16,pasqua16,LP1;PM1,1.4833333333333334,4.0,,136
137,PLINE300,EXTREME_2,37013/01883,0.0,AHM depo,2023-01-05 14:00:00,2023-01-05 16:00:00,gullo50,martel37,LP1;PM1,1.6833333333333333,2.0,,137
138,PLINE300,EXTREME_2,37013/01883,1.0,AHM deposition,2023-01-13 10:00:00,2023-01-13 13:00:00,gullo50,martel37,LP1;PM1,2.183333333333333,3.0,,138
139,PLINE300,EXTREME_2,39424/01221,0.0,Dev. new WDC and HST thc.s,2023-01-24 08:57:00,2023-01-24 12:00:00,pasqua16,pasqua16,LP1;LP2;PM1;PM2,2.2666666666666666,3.0,,139
140,PLINE300,EXTREME_2,39424/01225,0.0,Cycle time measurements,2023-01-09 07:00:00,2023-01-09 11:00:00,gomezg80,gomezg80,LP1;PM1,2.6166666666666667,4.0,,140
141,PLINE300,EXTREME_2,39424/01225,1.0,Process SPC wafer,2023-01-18 07:30:00,2023-01-18 09:00:00,gomezg80,gomezg80,LP1;PM1,1.1166666666666667,1.5,,141
142,PLINE300,EXTREME_2,39424/01903,0.0,Processing SPC manually,2023-01-12 09:30:00,2023-01-12 14:00:00,gomezg80,gomezg80,LP1;PM2,3.1666666666666665,4.5,,142
143,PLINE300,EXTREME_2,39424/01903,1.0,WDC checks and tuning,2023-01-25 15:00:00,2023-01-25 20:00:00,gomezg80,gomezg80,LP1;PM2,2.8333333333333335,5.0,,143
144,PLINE300,F5_SCD,30990/02250,0.0,10 wafers Thickness measurement,2023-01-20 15:58:00,2023-01-20 17:00:00,patel41,patel41,,0.8833333333333333,1.0,,144
145,PLINE300,F5_SCD,30990/32063,0.0,10 wafers Thickness measurement,2023-01-19 10:00:00,2023-01-19 11:14:00,patel41,patel41,,1.1333333333333333,1.0,,145
146,PLINE300,FTIR_2,31199/02271,0.0,HATR test,2023-01-20 10:00:00,2023-01-20 12:00:00,arvind29,arvind29,,1.25,2.0,,146
147,PLINE300,FTIR_2,32005/01717,0.0,GATR,2023-01-13 14:30:00,2023-01-13 17:43:00,kenis,kenis,,1.3666666666666667,2.5,,147
148,PLINE300,F_REX300X_1,31399/01183,0.0,Cu process test,2023-01-25 14:30:00,2023-01-25 19:00:00,nomura57,nomura57,LP1;LP2;LP4;PM_A;PM_B;PM_C;PM_D,2.8833333333333333,4.5,,148
149,PLINE300,F_REX300X_2,31399/01183,0.0,profile tuning,2023-01-06 09:30:00,2023-01-06 15:30:00,sugawa19,sugawa19,CL1B;CL2B;CL3B;CL4B;LP1;LP2;NOVA;PM_C;PM_D,0.25,6.0,,149
150,PLINE300,F_REX300X_2,31399/01183,1.0,cleaning performance chedk,2023-01-18 09:30:00,2023-01-18 12:30:00,sugawa19,sugawa19,CL1A;CL1B;CL2A;CL2B;CL3A;CL3B;CL4A;CL4B;LP1;LP2;NOVA;PM_C;PM_D,1.4666666666666666,3.0,,150
