,WBS,Tool,FACILITY,Begin,End,Modules,Description,User_id,IIO_Res_id
1205,37004/01376,CS4800,PLINE200,2022-11-14 15:30:00,2022-11-14 17:30:00,,P223984/2,moelants,54
1220,37037/02086,CS4800,PLINE200,2022-11-16 15:30:00,2022-11-16 16:00:00,,RFPD,eswara57,55
1388,97401/01775,CS4800,PLINE200,2022-11-15 16:30:00,2022-11-15 18:00:00,,P224185,moelants,56
1389,97401/01775,CS4800,PLINE200,2022-11-15 19:00:00,2022-11-15 21:00:00,,P224185,moelants,57
1390,97401/01775,CS4800,PLINE200,2022-11-17 16:30:00,2022-11-17 18:00:00,,P224185,moelants,58
1391,97401/01775,CS4800,PLINE200,2022-11-17 19:00:00,2022-11-17 21:00:00,,P224185,moelants,59
1290,39424/01224,DCVD_CF,PLINE200,2022-11-05 10:00:00,2022-11-05 13:30:00,CHB;LP1,Process lot P223884 with a new r,vdveld25,60
1413,98300/01158,DCVD_CF,PLINE200,2022-11-16 07:00:00,2022-11-16 22:00:00,CHC;LP2,HSI filter 300C,leyssens,61
1424,98500/01852,DEBOND_CLEANER,PLINE200,2022-11-07 13:30:00,2022-11-07 15:00:00,,BB305 strip,ghosh40,62
1415,98300/01535,DOM_BEOL_CU,PLINE200,2022-11-10 10:00:00,2022-11-10 11:30:00,LP1;PM2,Etch on EP check,jamieson,63
1114,32499/38006,EPSILON2,PLINE200,2022-11-17 06:30:00,2022-11-17 14:00:00,,Sony processing E223302,rondas,64
937,31499/00432,EV11,PLINE200,2022-11-17 09:00:00,2022-11-17 14:00:00,,Hysteresis loop of CFO,talmel16,65
986,31499/02047,EV11,PLINE200,2022-11-17 14:00:00,2022-11-18 18:30:00,,NiO temp HYS,wijsho15,66
1105,32399/30261,EV11,PLINE200,2022-11-04 09:00:00,2022-11-04 17:30:00,,MH of MBE grown Co thin films,sharma76,67
1072,32299/01084,FC150,PLINE200,2022-11-03 10:00:00,2022-11-03 14:00:00,,TCB 200C 30sec,kang10,68
1073,32299/01084,FC150,PLINE200,2022-11-07 09:00:00,2022-11-07 13:00:00,,TCB 200C 500g 30sec,kang10,69
1074,32299/01084,FC150,PLINE200,2022-11-08 09:00:00,2022-11-08 18:00:00,,Experiment,maehar92,70
1075,32299/01084,FC150,PLINE200,2022-11-15 09:00:00,2022-11-15 18:00:00,,Experiment,maehar92,71
1076,32299/01084,FC150,PLINE200,2022-11-16 10:00:00,2022-11-16 15:00:00,,TCB 200C 30sec 500g,kang10,72
1077,32299/01084,FC150,PLINE200,2022-11-17 10:00:00,2022-11-17 15:00:00,,TCB 200C 30sec 500g,kang10,73
1501,98601/32063,FSM_CU,PLINE200,2022-10-31 14:30:00,2022-10-31 17:00:00,,Pre-bow measurement,vdalon75,74
1502,98601/32063,FSM_CU,PLINE200,2022-11-02 10:00:00,2022-11-02 11:00:00,,Stress on 300mm wafers,vdalon75,75
1196,36671/01224,FUSIONBONDER,PLINE200,2022-11-05 09:30:00,2022-11-05 11:30:00,,lot,han41,76
1204,36671/36503,FUSIONBONDER,PLINE200,2022-11-03 10:00:00,2022-11-03 13:00:00,,optopix,visker16,77
1197,36671/01224,GRINDER,PLINE200,2022-11-10 19:00:00,2022-11-10 22:00:00,,lot,han41,78
1061,32299/00329,KLA2351,PLINE200,2022-11-16 14:30:00,2022-11-16 15:00:00,,Devino,gompou79,79
1090,32299/01959,KLA2351,PLINE200,2022-10-31 09:30:00,2022-10-31 12:00:00,,recipe check,moet12,80
1091,32299/01959,KLA2351,PLINE200,2022-11-07 20:30:00,2022-11-07 21:30:00,,Devinps,janard53,81
1092,32299/01959,KLA2351,PLINE200,2022-11-10 11:30:00,2022-11-10 12:30:00,,Recipe correction,moet12,82
1093,32299/01959,KLA2351,PLINE200,2022-11-16 09:30:00,2022-11-16 12:00:00,,Recipe creation,moet12,83
1099,32299/31838,KLA2351,PLINE200,2022-11-04 16:30:00,2022-11-04 22:00:00,,devinp,gompou79,84
1100,32299/31838,KLA2351,PLINE200,2022-11-07 06:30:00,2022-11-07 14:00:00,,devinp,gompou79,85
1101,32299/31838,KLA2351,PLINE200,2022-11-10 13:00:00,2022-11-10 14:30:00,,devinp,gompou79,86
1102,32299/31838,KLA2351,PLINE200,2022-11-14 14:00:00,2022-11-14 16:30:00,,devinp,gompou79,87
1103,32299/31838,KLA2351,PLINE200,2022-11-15 16:00:00,2022-11-15 21:30:00,,devinp,gompou79,88
1170,36003/36503,KLA2351,PLINE200,2022-11-08 07:00:00,2022-11-08 14:00:00,,Devinps,gompou79,89
1173,36003/36504,KLA2351,PLINE200,2022-11-09 07:00:00,2022-11-09 09:00:00,,Devinps,gompou79,90
1419,98300/14175,KLA2351,PLINE200,2022-11-09 13:00:00,2022-11-09 16:00:00,,recipe check,moet12,91
1378,97401/00942,LAMINATOR_2,PLINE200,2022-11-08 14:00:00,2022-11-08 17:00:00,,Lamination of NC50,wysock13,92
1032,32099/30197,LASERDEBOND,PLINE200,2022-11-15 09:00:00,2022-11-15 11:00:00,,micledi,jslabbe,93
1360,44286/44542,LASERDEBOND,PLINE200,2022-11-07 11:00:00,2022-11-07 12:00:00,,200 mm Tapeframe,coulso66,94
1361,44286/44542,LASERDEBOND,PLINE200,2022-11-09 11:00:00,2022-11-09 12:00:00,,200mm Tapeframe,coulso66,95
1379,97401/00942,LASERDEBOND,PLINE200,2022-11-04 11:30:00,2022-11-04 12:30:00,,Glass debonding from TOK-PI,wysock13,96
1394,97401/14983,LASERDEBOND,PLINE200,2022-11-03 09:00:00,2022-11-03 11:00:00,,Laser delam of PI from Glass,segers56,97
1425,98500/01852,LASERDEBOND,PLINE200,2022-11-04 10:00:00,2022-11-04 11:00:00,,200mm TF ELD only,ghosh40,98
1426,98500/01852,LASERDEBOND,PLINE200,2022-11-08 13:00:00,2022-11-08 14:00:00,,300mm TF,ghosh40,99
1198,36671/01224,MOUNTER_LH,PLINE200,2022-11-18 09:00:00,2022-11-18 12:00:00,,Training for Akito Hiro (MATA),sannen22,100
1292,39425/01221,MRT5000,PLINE200,2022-11-17 14:30:00,2022-11-18 16:00:00,PM1,Cu check high vac mode;Cu high vac low vac check,ceuppenj,101
1004,32005/01784,NOVA200,PLINE200,2022-11-08 07:00:00,2022-11-08 09:30:00,,MEC,ripj,102
1005,32005/01784,NOVA200,PLINE200,2022-11-14 08:30:00,2022-11-14 09:30:00,,MEC,ripj,103
1006,32005/01784,NOVA200,PLINE200,2022-11-15 07:00:00,2022-11-15 08:30:00,,MEC,ripj,104
1008,32008/00034,NOVA200,PLINE200,2022-11-17 08:00:00,2022-11-17 11:00:00,,sem,lux,105
1259,38199/01838,NOVA200,PLINE200,2022-11-17 11:00:00,2022-11-17 12:00:00,,sem,tsvetani,106
1298,41603/41380,NOVA200,PLINE200,2022-11-07 09:00:00,2022-11-07 10:00:00,,XSEM,vdepauw,107
1299,41603/49500,NOVA200,PLINE200,2022-11-04 14:00:00,2022-11-04 15:30:00,,xsem training,vdepauw,108
1374,97400/01743,NOVA200,PLINE200,2022-11-14 11:00:00,2022-11-14 12:30:00,,inspectie,dusar,109
1395,97406/01185,NOVA200,PLINE200,2022-11-03 11:00:00,2022-11-03 12:30:00,,dev,hendri21,110
1396,97406/01185,NOVA200,PLINE200,2022-11-04 12:30:00,2022-11-04 14:00:00,,training,hendri21,111
1397,97406/01185,NOVA200,PLINE200,2022-11-08 15:30:00,2022-11-08 17:00:00,,develop,hendri21,112
1398,97406/01185,NOVA200,PLINE200,2022-11-09 14:00:00,2022-11-09 16:00:00,,SEM measurements,vheusd76,113
1399,97406/01185,NOVA200,PLINE200,2022-11-15 15:30:00,2022-11-15 17:00:00,,dev,hendri21,114
1410,98300/00854,NOVA200,PLINE200,2022-11-08 10:30:00,2022-11-08 11:00:00,,Inspection,dusar,115
1293,39425/01221,P7_HITEMP,PLINE200,2022-11-16 13:00:00,2022-11-19 00:00:00,HITEMP;WIP,New boat test,knaepen,116
942,31499/00880,POLYGON,PLINE200,2022-11-16 17:00:00,2022-11-17 10:00:00,LP2;NITRIDE,WS2 MOCVD,medina33,117
1285,39423/01221,POLYGON,PLINE200,2022-11-15 06:00:00,2022-11-15 22:00:00,ALCVD;LP2,processing samples;sample processing,janssenm,118
1417,98300/01618,PROFILER,PLINE200,2022-11-04 10:30:00,2022-11-04 12:00:00,,i,redants,119
1097,32299/02107,SAM_AW300,PLINE200,2022-10-31 10:00:00,2022-10-31 11:30:00,,AL208143/1,chen70,120
1098,32299/02107,SAM_AW300,PLINE200,2022-11-14 10:30:00,2022-11-14 11:30:00,,AL208143/1,chen70,121
1246,38199/01132,SAM_AW300,PLINE200,2022-11-07 15:30:00,2022-11-07 17:30:00,,AL210794/3,chen70,122
1247,38199/01132,SAM_AW300,PLINE200,2022-11-10 12:00:00,2022-11-10 13:00:00,,AL210794/3,chen70,123
1082,32299/01084,SETNA,PLINE200,2022-11-07 09:30:00,2022-11-07 11:30:00,,He14.4 H2 3.6 N2 0.3 O2 0.3,kang10,124
1083,32299/01084,SETNA,PLINE200,2022-11-10 10:30:00,2022-11-10 12:30:00,,He 14.4 H2 3.6 O2 0.3 N2 0.3,kang10,125
1084,32299/01084,SETNA,PLINE200,2022-11-16 10:30:00,2022-11-16 14:00:00,,He 14.4 H2 3.6 O2 0.3 N2 0.3,kang10,126
1085,32299/01084,SETNA,PLINE200,2022-11-17 10:30:00,2022-11-17 12:30:00,,He14.4 H2 3.6 O2 0.3 N2 0.3,kang10,127
1422,98500/01060,SETNA,PLINE200,2022-11-09 11:30:00,2022-11-09 12:30:00,,Bonding test,chance44,128
1182,36026/01221,SEZ_3,PLINE200,2022-11-18 09:00:00,2022-11-18 12:00:00,CHC1;LP1;LP2,HF49,diazde74,129
17,30990/02249,SP1_DLS,PLINE200,2022-11-17 12:00:00,2022-11-17 13:00:00,,measurement,tricas85,130
18,30990/02249,SP1_DLS,PLINE200,2022-11-17 16:00:00,2022-11-17 17:00:00,,measurement,tricas85,131
64,30990/32063,SP1_DLS,PLINE200,2022-10-31 12:00:00,2022-10-31 13:00:00,,measurement,tricas85,132
65,30990/32063,SP1_DLS,PLINE200,2022-11-02 12:00:00,2022-11-02 13:00:00,,measurement,tricas85,133
66,30990/32063,SP1_DLS,PLINE200,2022-11-02 16:00:00,2022-11-02 17:00:00,,measurement,tricas85,134
67,30990/32063,SP1_DLS,PLINE200,2022-11-03 12:00:00,2022-11-03 12:30:00,,measurement,tricas85,135
68,30990/32063,SP1_DLS,PLINE200,2022-11-03 16:00:00,2022-11-03 16:30:00,,measurement,tricas85,136
69,30990/32063,SP1_DLS,PLINE200,2022-11-07 12:00:00,2022-11-07 12:30:00,,measurement,tricas85,137
70,30990/32063,SP1_DLS,PLINE200,2022-11-07 16:00:00,2022-11-07 16:30:00,,measurement,tricas85,138
71,30990/32063,SP1_DLS,PLINE200,2022-11-08 12:30:00,2022-11-08 13:00:00,,pre measurements,knaepen,139
1174,36004/01224,SPTS_OMEGA,PLINE200,2022-11-02 08:30:00,2022-11-02 09:00:00,PM2;PM3,ILLUMINATOR - Preliminary Tests,palomb58,140
1175,36004/01224,SPTS_OMEGA,PLINE200,2022-11-04 12:00:00,2022-11-04 12:30:00,PM2;PM3,Illuminator Strip,palomb58,141
1176,36004/01224,SPTS_OMEGA,PLINE200,2022-11-07 09:30:00,2022-11-07 11:00:00,PM2;PM3,Strip of Illuminator wafers,nedelj21,142
1177,36004/01224,SPTS_OMEGA,PLINE200,2022-11-08 09:00:00,2022-11-08 11:00:00,PM2;PM3,Lot P223216 - rfpd PR22.0198,woutersj,143
1178,36004/01224,SPTS_OMEGA,PLINE200,2022-11-09 10:30:00,2022-11-09 12:30:00,PM2;PM3,ILLUMINATOR - Thick Diel Etch,palomb58,144
1179,36004/01224,SPTS_OMEGA,PLINE200,2022-11-10 09:00:00,2022-11-10 11:30:00,PM2;PM3,Mandrake Etch,woutersj,145
1180,36004/01224,SPTS_OMEGA,PLINE200,2022-11-15 08:00:00,2022-11-15 11:30:00,PM2;PM3,ILLUMINATOR - FULL Beam Rls,palomb58,146
1181,36004/01224,SPTS_OMEGA,PLINE200,2022-11-16 07:30:00,2022-11-16 11:30:00,PM2;PM3,ILLUMINATOR - FULL Beam Rls,palomb58,147
1527,98850/02081,SPTS_OMEGA,PLINE200,2022-11-16 14:00:00,2022-11-16 16:00:00,PM3,BS Sequel TroubleShoot,jamieson,148
309,31199/01513,TELACT8_200,PLINE200,2022-11-02 07:30:00,2022-11-02 08:30:00,,use,vicca54,149
310,31199/01513,TELACT8_200,PLINE200,2022-11-04 07:30:00,2022-11-04 08:00:00,,use,vicca54,150
311,31199/01513,TELACT8_200,PLINE200,2022-11-09 07:00:00,2022-11-09 08:00:00,,use,vicca54,151
312,31199/01513,TELACT8_750,PLINE200,2022-11-04 14:00:00,2022-11-04 16:00:00,,JSR Private,krishn87,152
313,31199/01513,TELACT8_750,PLINE200,2022-11-09 07:30:00,2022-11-09 08:30:00,,use,vicca54,153
314,31199/01513,TELACT8_750,PLINE200,2022-11-16 14:30:00,2022-11-16 15:30:00,,JSR Private,krishn87,154
403,31199/01851,TELACT8_750,PLINE200,2022-10-31 10:00:00,2022-10-31 11:00:00,,euv test,pollenti,155
404,31199/01851,TELACT8_750,PLINE200,2022-11-10 09:00:00,2022-11-10 10:00:00,,euv test,pollenti,156
405,31199/01851,TELACT8_750,PLINE200,2022-11-14 09:00:00,2022-11-14 10:00:00,,euv test,pollenti,157
527,31199/01988,TELACT8_750,PLINE200,2022-11-08 14:30:00,2022-11-08 15:30:00,,Coating,naqvi66,158
528,31199/01988,TELACT8_750,PLINE200,2022-11-10 15:00:00,2022-11-10 16:30:00,,Coating,naqvi66,159
824,31199/31247,TELACT8_750,PLINE200,2022-11-15 09:00:00,2022-11-15 09:30:00,,resist coating,castel93,160
110,31012/01084,TEMP_BONDER,PLINE200,2022-11-14 09:00:00,2022-11-14 14:00:00,,POR recipe - C1301,jedidi64,161
1070,32299/00716,TEMP_BONDER,PLINE200,2022-11-04 09:00:00,2022-11-04 14:00:00,,C3 / TTV,guerrera,162
1191,36671/01221,TEMP_BONDER,PLINE200,2022-11-08 13:00:00,2022-11-08 16:00:00,,TBM development,patil20,163
1192,36671/01221,TEMP_BONDER,PLINE200,2022-11-09 13:00:00,2022-11-09 17:00:00,,TBM development,patil20,164
1193,36671/01221,TEMP_BONDER,PLINE200,2022-11-10 13:00:00,2022-11-10 17:00:00,,TBM development,patil20,165
1199,36671/01224,TEMP_BONDER,PLINE200,2022-11-07 20:00:00,2022-11-07 21:30:00,,lot,han41,166
1200,36671/01224,TEMP_BONDER,PLINE200,2022-11-15 10:00:00,2022-11-15 11:30:00,,lot,han41,167
1201,36671/01224,TEMP_BONDER,PLINE200,2022-11-15 13:00:00,2022-11-15 16:00:00,,TBM development,patil20,168
1202,36671/01224,TEMP_BONDER,PLINE200,2022-11-16 13:00:00,2022-11-16 16:00:00,,TBM development,patil20,169
1203,36671/01224,TEMP_BONDER,PLINE200,2022-11-17 13:00:00,2022-11-17 16:00:00,,TBM development,patil20,170
1428,98500/01852,TEMP_BONDER,PLINE200,2022-11-02 10:00:00,2022-11-02 14:00:00,,BB305 coat bond,ghosh40,171
1429,98500/01852,TEMP_BONDER,PLINE200,2022-11-07 13:00:00,2022-11-07 16:00:00,,BB305 bond quality,ghosh40,172
1430,98500/01852,TEMP_BONDER,PLINE200,2022-11-08 10:00:00,2022-11-08 12:00:00,,MX2 layer transfer,ghosh40,173
1183,36026/01224,WETSTRIP_WB,PLINE200,2022-11-10 09:30:00,2022-11-10 13:00:00,WM1B;WM2A;WM2B;WM3;WM4,To process lot P223860/4,postig14,174
1184,36026/01224,WETSTRIP_WB,PLINE200,2022-11-16 12:00:00,2022-11-16 16:30:00,WM1B;WM2A,To process lot P223860/4,postig14,175
1423,98500/01060,WYCO,PLINE200,2022-11-16 09:00:00,2022-11-16 17:00:00,,Wafer map,chance44,176
1016,32099/01506,XL30_CF,PLINE200,2022-11-07 13:00:00,2022-11-07 16:00:00,,Training EBSD Myriam Van De Peer,jmesse,177
1017,32099/01506,XL30_CF,PLINE200,2022-11-10 09:00:00,2022-11-10 11:00:00,,Training EBSD Myriam Van De Peer,jmesse,178
1018,32099/01506,XL30_CF,PLINE200,2022-11-17 09:00:00,2022-11-17 11:00:00,,Training EBSD Myriam Van De Peer,jmesse,179
21,30990/32063,2830ZT,PLINE300,2022-11-02 11:00:00,2022-11-02 13:30:00,,SPC,kramac15,180
22,30990/32063,2830ZT,PLINE300,2022-11-02 16:00:00,2022-11-02 16:30:00,,SPC check,jagalu79,181
23,30990/32063,2830ZT,PLINE300,2022-11-03 11:00:00,2022-11-03 13:00:00,,MAZO devel,thukka30,182
24,30990/32063,2830ZT,PLINE300,2022-11-07 14:30:00,2022-11-07 16:00:00,,MAZO proces develop,thukka30,183
25,30990/32063,2830ZT,PLINE300,2022-11-08 09:00:00,2022-11-08 11:00:00,,SPC check,jagalu79,184
26,30990/32063,2830ZT,PLINE300,2022-11-08 13:00:00,2022-11-09 00:00:00,,DOE;SPC check,jagalu79;kramac15,185
27,30990/32063,2830ZT,PLINE300,2022-11-09 09:00:00,2022-11-09 23:00:00,,DOE;SPC check,jagalu79;kramac15,186
28,30990/32063,2830ZT,PLINE300,2022-11-14 13:00:00,2022-11-14 16:30:00,,ZMO process development,chauha79,187
29,30990/32063,2830ZT,PLINE300,2022-11-15 13:00:00,2022-11-15 18:00:00,,SPC check,jagalu79,188
30,30990/32063,2830ZT,PLINE300,2022-11-15 20:30:00,2022-11-16 00:00:00,,MAZO process deveop,thukka30,189
31,30990/32063,2830ZT,PLINE300,2022-11-16 12:30:00,2022-11-16 13:30:00,,SPC devleopemnt,jagalu79,190
32,30990/32063,2830ZT,PLINE300,2022-11-16 16:00:00,2022-11-16 16:30:00,,MAZO deveop,thukka30,191
33,30990/32063,2830ZT,PLINE300,2022-11-17 12:00:00,2022-11-17 12:30:00,,MAZO,thukka30,192
381,31199/01765,2830ZT,PLINE300,2022-11-10 12:00:00,2022-11-10 14:00:00,,XRF on blanket,mandal97,193
382,31199/01765,2830ZT,PLINE300,2022-11-17 09:00:00,2022-11-17 10:00:00,,Ru XRF,mandal97,194
383,31199/01765,2830ZT,PLINE300,2022-11-17 11:00:00,2022-11-17 12:00:00,,Ru,mandal97,195
384,31199/01765,2830ZT,PLINE300,2022-11-17 17:30:00,2022-11-17 18:30:00,,Ru,mandal97,196
882,31299/01284,2830ZT,PLINE300,2022-11-03 13:30:00,2022-11-03 14:30:00,,IGZO,agiann70,197
883,31299/01284,2830ZT,PLINE300,2022-11-10 14:00:00,2022-11-10 14:30:00,,IGZO,agiann70,198
926,31499/00379,2830ZT,PLINE300,2022-11-08 11:00:00,2022-11-08 13:00:00,,GST composition,sinha70,199
945,31499/01284,2830ZT,PLINE300,2022-10-31 11:30:00,2022-10-31 13:00:00,,MAZO w/ H2O recipe development,pavel13,200
946,31499/01284,2830ZT,PLINE300,2022-10-31 21:30:00,2022-10-31 22:30:00,,MAZO w/ H2O,pavel13,201
947,31499/01284,2830ZT,PLINE300,2022-11-03 15:00:00,2022-11-03 16:00:00,,MAZO with H2O process and recipe,pavel13,202
948,31499/01284,2830ZT,PLINE300,2022-11-04 09:30:00,2022-11-04 11:00:00,,MAZO with H2O process and recipe,pavel13,203
949,31499/01284,2830ZT,PLINE300,2022-11-07 10:30:00,2022-11-07 14:30:00,,IGZO SPC and MAZO development,pavel13,204
950,31499/01284,2830ZT,PLINE300,2022-11-07 16:00:00,2022-11-07 17:30:00,,MAZO process development w/ H2O,pavel13,205
951,31499/01284,2830ZT,PLINE300,2022-11-15 10:30:00,2022-11-15 12:30:00,,MAZO w/ H2O process development,pavel13,206
952,31499/01284,2830ZT,PLINE300,2022-11-16 10:30:00,2022-11-16 12:30:00,,MAZO w/ H2O process development,pavel13,207
953,31499/01284,2830ZT,PLINE300,2022-11-17 12:30:00,2022-11-17 14:30:00,,MAZO w/ H2O process recipe devel,pavel13,208
954,31499/01284,2830ZT,PLINE300,2022-11-17 20:30:00,2022-11-17 22:00:00,,MAZO w/ H2O process recipe dev,pavel13,209
987,31499/02121,2830ZT,PLINE300,2022-11-10 14:30:00,2022-11-10 18:00:00,,AE217515,devul,210
1221,37037/02098,2830ZT,PLINE300,2022-11-14 16:30:00,2022-11-14 17:30:00,,AE229203,devul,211
1222,37037/02098,2830ZT,PLINE300,2022-11-15 12:30:00,2022-11-15 13:00:00,,AE229203,devul,212
1223,37037/02098,2830ZT,PLINE300,2022-11-16 13:30:00,2022-11-16 15:00:00,,AE229203,devul,213
739,31199/31021,ALERIS,PLINE300,2022-11-04 11:00:00,2022-11-04 12:00:00,,Fukui etch,demand38,214
793,31199/31247,ALERIS,PLINE300,2022-11-15 11:00:00,2022-11-15 12:00:00,,Inpria,deschepp,215
794,31199/31247,ALERIS,PLINE300,2022-11-15 13:00:00,2022-11-15 14:00:00,,Inpria,deschepp,216
795,31199/31247,ALERIS,PLINE300,2022-11-16 11:00:00,2022-11-16 12:00:00,,Inpria,deschepp,217
